id,verdict,name,town,seed_stories,floors_est,levels,height_m,name_ok,d,osm_bldg_name,osm_id
302,none,Holiday Inn Westbury,Carle Place,5,,,,,,,
305,none,North Fork Table & Inn,Southold,3,,,,,,,
331,none,700 Old Country Rd,Plainview,4,,,,,,,
360,none,Northwell Health Ophthalmology Great Neck,Great Neck,4,,,,,,,
362,none,Riverhead Town Hall,Riverhead,4,,,,,,,
372,none,Stony Brook University — Harriman Hall,Stony Brook,5,,,,,,,
375,none,Adelphi University — Nexus Building,Garden City,5,,,,,,,
377,none,Nassau BOCES Administrative Center,Garden City,4,,,,,,,
383,none,Cradle of Aviation Museum,Garden City,3,,,,,,,
384,levels,Parrish Art Museum,Water Mill,3,1,1,,True,12,Parrish Art Museum,way/353079604
385,none,Vanderbilt Museum — Hall of Fishes,Centerport,3,,,,,,,
389,none,Patchogue Theatre for the Performing Arts,Patchogue,3,,,,,,,
392,none,Huntington YMCA,Huntington,2,,,,,,,
404,none,JCC Mid-Island,Plainview,2,,,,,,,
409,none,Nassau County Museum of Art,Roslyn Harbor,3,,,,,,,
432,none,Levittown Public Library,Levittown,2,,,,,,,
436,none,Syosset Public Library,Syosset,2,,,,,,,
437,none,Lindenhurst Memorial Library,Lindenhurst,2,,,,,,,
438,none,Bay Shore–Brightwaters Library,Bay Shore,2,,,,,,,
439,none,Patchogue–Medford Library,Patchogue,2,,,,,,,
442,none,Commack Public Library,Commack,2,,,,,,,
443,none,North Babylon Public Library,North Babylon,2,,,,,,,
444,none,Elmont Public Library,Elmont,2,,,,,,,
447,none,Lynbrook Village Hall,Lynbrook,2,,,,,,,
448,none,Mineola Village Hall,Mineola,2,,,,,,,
452,none,Amityville Village Hall,Amityville,3,,,,,,,
455,none,Farmingdale Village Hall,Farmingdale,2,,,,,,,
457,none,New Hyde Park Village Hall,New Hyde Park,2,,,,,,,
462,none,2 Huntington Quadrangle,Melville,4,,,,,,,
483,none,Lake Success Shopping Center,Lake Success,2,,,,,,,
491,none,Memorial Sloan Kettering Commack,Commack,4,,,,,,,
511,none,New York Community Bancorp HQ,Hicksville,8,,,,,,,
512,none,Bethpage Federal Credit Union HQ,Bethpage,5,,,,,,,
537,none,East Hampton Village Green,East Hampton,3,,,,,,,
541,none,The 1770 House,East Hampton,3,,,,,,,
542,none,Greenporter Hotel,Greenport,3,,,,,,,
559,none,500 Old Country Rd,Garden City,5,,,,,,,
561,none,350 Jericho Tpke,Jericho,3,,,,,,,
574,none,Sag Harbor Village Hall,Sag Harbor,2,,,,,,,
575,none,Westhampton Beach Village Hall,Westhampton Beach,2,,,,,,,
576,none,Nassau County Traffic & Parking Agency,Hempstead,3,,,,,,,
581,none,Jericho High School,Jericho,3,,,,,,,
583,none,Great Neck South High School,Great Neck,3,,,,,,,
584,none,Garden City High School,Garden City,3,,,,,,,
587,none,Half Hollow Hills High School East,Dix Hills,3,,,,,,,
590,none,Bethpage High School,Bethpage,3,,,,,,,
591,none,Oheka Castle,Huntington,4,,,,,,,
592,none,Planting Fields — Coe Hall,Oyster Bay,3,,,,,,,
594,levels,Sagamore Hill — Roosevelt Home,Oyster Bay,3,3,3,12.0,True,87,Sagamore Hill,way/450217987
597,none,Adventureland Amusement Park,Farmingdale,3,,,,,,,
599,none,Splish Splash Water Park,Calverton,3,,,,,,,
601,levels,Temple Beth El Great Neck,Great Neck,2,4,4,,False,127,,way/379327457
602,none,Islamic Center of Long Island,Westbury,2,,,,,,,
615,none,Jericho Terrace Plaza,Mineola,2,,,,,,,
