id,verdict,seed_name,type,town,seed_stories,seed_elevators,osm_match,osm_kind,dist_m,osm_levels
592,confirmed,Planting Fields — Coe Hall,Entertainment,Oyster Bay,3,2,Coe Hall,tourism=museum,299,
599,confirmed,Splish Splash Water Park,Entertainment,Calverton,3,2,Splish Splash Water Park,leisure=water_park,0,
601,confirmed,Temple Beth El Great Neck,Community,Great Neck,2,1,Temple Beth-El of Great Neck,amenity=place_of_worship,247,
602,confirmed,Islamic Center of Long Island,Community,Westbury,2,1,Islamic Center of Long Island,amenity=place_of_worship,1,
2,misplaced,RXR Plaza,Office,Uniondale,15,12,RXR Plaza,landuse=commercial,711,
5,misplaced,EAB Plaza (West Tower),Office,Uniondale,14,10,EAB Plaza Heliport,aeroway=helipad,2133,
7,misplaced,Nassau University Medical Center,Medical,East Meadow,19,16,Nassau University Medical Center,amenity=hospital,779,
17,misplaced,1 Jericho Plaza,Office,Jericho,6,6,1 Jericho Plaza,building=yes,849,
25,misplaced,Smith Haven Mall,Mall,Lake Grove,2,5,Smith Haven Mall,landuse=retail,838,
27,misplaced,Peconic Bay Medical Center,Medical,Riverhead,6,5,Peconic Bay Medical Center,amenity=hospital,1910,
31,misplaced,Eastern Long Island Hospital,Medical,Greenport,4,3,Stony Brook Eastern Long Island Hospital,amenity=hospital,838,
32,misplaced,Stony Brook Southampton Hospital,Medical,Southampton,5,4,Stony Brook Southampton Hospital,amenity=hospital,570,
36,misplaced,Plainview Hospital,Medical,Plainview,4,4,Plainview Hospital,amenity=hospital,949,
37,misplaced,Syosset Hospital,Medical,Syosset,4,4,Syosset Hospital,amenity=hospital,658,
69,misplaced,800 Community Dr,Office,Manhasset,6,5,800,building=commercial,620,
78,misplaced,Hilton Garden Inn Roslyn,Hotel,Roslyn,7,4,Hilton Garden Inn - Roslyn,tourism=hotel,1139,
84,misplaced,Holiday Inn Express Hauppauge,Hotel,Hauppauge,5,3,Holiday Inn Express,tourism=hotel,2296,
85,misplaced,Marriott Courtyard Ronkonkoma,Hotel,Ronkonkoma,4,3,Courtyard Long Island MacArthur Airport,tourism=hotel,1441,
89,misplaced,Marriott Courtyard Uniondale,Hotel,Uniondale,6,4,Courtyard,tourism=hotel,2395,
104,misplaced,Suffolk County Courthouse,Government,Riverhead,7,5,Suffolk County Supreme Court,amenity=courthouse,524,
125,misplaced,Port Washington Public Library,Library,Port Washington,4,3,Port Washington Public Library,amenity=library,604,
153,misplaced,135 Pinelawn Rd,Office,Melville,5,4,135,building=commercial,582,
164,misplaced,100 Jericho Quadrangle,Office,Jericho,5,4,Jericho Quadrangle,landuse=commercial,1398,
170,misplaced,600 Old Country Rd,Office,Garden City,6,5,Old Country Road,highway=primary,1990,
176,misplaced,3601 Broadhollow Rd,Office,Farmingdale,4,3,Broadhollow Road,highway=primary,1142,
196,misplaced,Topping Rose House,Hotel,Bridgehampton,3,2,Topping Rose House,tourism=hotel,890,
198,misplaced,Hampton Inn Farmingdale,Hotel,Farmingdale,4,3,Hampton Inn & Suites Long Island Farmingdale,tourism=hotel,1521,
204,misplaced,Inn at Great Neck,Hotel,Great Neck,5,3,Inn At Great Neck,tourism=hotel,1360,
209,misplaced,Cold Spring Harbor Laboratory,Education,Cold Spring Harbor,5,4,Cold Spring Harbor Laboratory,amenity=university,1051,
221,misplaced,Glen Cove City Hall,Government,Glen Cove,4,3,Glen Cove City Hall,amenity=townhall,735,
222,misplaced,Huntington Town Hall,Government,Huntington,4,3,Huntington Town Hall,amenity=townhall,732,
223,misplaced,Long Beach City Hall,Government,Long Beach,4,3,Long Beach City Hall,amenity=townhall,854,
225,misplaced,Southampton Town Hall,Government,Southampton,3,2,Southampton Town Hall,amenity=townhall,610,
227,misplaced,Babylon Town Hall,Government,Lindenhurst,4,3,Babylon Townhall,amenity=townhall,2208,
241,misplaced,Sea Cliff Manor,Residential,Sea Cliff,5,3,Sea Cliff Manor,building=yes,1202,
248,misplaced,Babylon Public Library,Library,Babylon,3,2,Babylon Public Library,amenity=library,834,
254,misplaced,Tilles Center for the Performing Arts,Entertainment,Brookville,3,3,Tilles Center For The Performing Arts,amenity=arts_centre,846,
260,misplaced,NYCB Theatre at Westbury,Entertainment,Westbury,3,3,NYCB Theatre at Westbury,amenity=theatre,2235,
265,misplaced,The Bristal at North Hills,Residential,North Hills,4,4,The Bristal Assisted Living at North Hills,amenity=social_facility,737,
305,misplaced,North Fork Table & Inn,Hotel,Southold,3,2,North Fork Table & Inn,tourism=hotel,1126,
383,misplaced,Cradle of Aviation Museum,Entertainment,Garden City,3,3,Cradle of Aviation Museum,tourism=museum,786,
388,misplaced,The Space at Westbury,Entertainment,Westbury,3,2,The Space at Westbury,leisure=dance,533,
392,misplaced,Huntington YMCA,Community,Huntington,2,1,Huntington YMCA,leisure=park,1083,
404,misplaced,JCC Mid-Island,Community,Plainview,2,1,Mid-Island Y JCC,amenity=community_centre,641,
407,misplaced,Huntington Arts Center,Community,Huntington,2,1,Huntington Cinema Arts Center,amenity=cinema,1093,
441,misplaced,Comsewogue Public Library,Library,Port Jefferson Station,2,1,Comsewogue Public Library Bike Borrow Program,amenity=bicycle_rental,956,
443,misplaced,North Babylon Public Library,Library,North Babylon,2,1,North Babylon Public Library,amenity=library,693,
444,misplaced,Elmont Public Library,Library,Elmont,2,1,Elmont Public Library,amenity=library,1016,
446,misplaced,Rockville Centre Village Hall,Government,Rockville Centre,2,1,Rockville Centre Village Hall,amenity=townhall,540,
449,misplaced,Garden City Village Hall,Government,Garden City,2,1,Garden City Village Hall,amenity=townhall,582,
451,misplaced,Babylon Village Hall,Government,Babylon,2,1,Babylon Village Hall,amenity=townhall,512,
453,misplaced,Northport Village Hall,Government,Northport,2,1,Northport Village Hall,amenity=townhall,507,
457,misplaced,New Hyde Park Village Hall,Government,New Hyde Park,2,1,New Hyde Park Village Hall,amenity=townhall,742,
465,misplaced,300 Corporate Dr Bohemia,Office,Bohemia,2,1,Corporate Drive,highway=residential,2840,
473,misplaced,175 Pinelawn Rd,Office,Melville,4,3,175,building=commercial,521,
483,misplaced,Lake Success Shopping Center,Mall,Lake Success,2,1,Lake Success Medical Building,building=retail,572,
526,misplaced,Atria Great Neck,Residential,Great Neck,4,3,Atria Cuttermill,amenity=social_facility,1631,
527,misplaced,The Bristal at Massapequa,Residential,Massapequa,4,4,The Bristal at Massapequa,amenity=social_facility,1835,
528,misplaced,The Bristal at Jericho,Residential,Jericho,4,4,The Bristal at Jericho,amenity=social_facility,1388,
530,misplaced,Atria Lynbrook,Residential,Lynbrook,4,3,Atria Tanglewood Senior Living,amenity=nursing_home,511,
543,misplaced,East Wind Long Island,Hotel,Wading River,3,2,East Wind Long Island,building=hotel,1452,
555,misplaced,Montauk Blue Hotel,Hotel,Montauk,3,2,Montauk Blue Hotel,tourism=hotel,1739,
564,misplaced,200 S Oyster Bay Rd,Office,Bethpage,3,2,South Oyster Bay Road,highway=secondary,1796,
578,misplaced,Quogue Village Hall,Government,Quogue,2,1,Quogue Village Hall,amenity=townhall,1522,
582,misplaced,Syosset High School,Education,Woodbury,3,3,Syosset High School,amenity=school,1430,
585,misplaced,Roslyn High School,Education,Roslyn Heights,3,3,Roslyn High School,amenity=school,885,
586,misplaced,Huntington High School,Education,Huntington Station,3,3,Huntington High School,amenity=school,2575,
589,misplaced,Massapequa High School,Education,Massapequa,3,3,Massapequa High School - Ames Campus,amenity=school,1547,
600,misplaced,Kings Park Psychiatric Center,Entertainment,Kings Park,4,4,Kings Park Psychiatric Center,healthcare=psychotherapist,1662,
11,review,Tanger Outlets Deer Park,Mall,Deer Park,2,4,NY Dress Shop,shop=clothes,72,
49,review,100 Garden City Plaza,Office,Garden City,8,6,100,building=house,0,
50,review,900 Stewart Ave,Office,Garden City,6,5,900,building=yes,0,
52,review,175 Broadhollow Rd,Office,Melville,7,5,175,building=yes,0,
60,review,300 Motor Pkwy,Office,Hauppauge,6,5,Applebee's,amenity=restaurant,1382,
66,review,400 Post Ave,Office,Westbury,6,5,400,building=yes,0,
82,review,Hampton Inn Garden City,Hotel,Garden City,6,4,Hampton Inn,tourism=hotel,4602,
87,review,Homewood Suites Melville,Hotel,Melville,4,3,Homewood Suites by Hilton,tourism=hotel,3068,
152,review,1000 Franklin Ave,Office,Garden City,6,5,Village Pediatrics,amenity=doctors,398,
156,review,350 Motor Pkwy,Office,Hauppauge,5,4,350,building=retail,445,
157,review,50 Charles Lindbergh Blvd,Office,Uniondale,5,4,50,building=yes,885,
158,review,900 Merchants Concourse,Office,Westbury,6,5,900,building=yes,0,
163,review,150 Broadhollow Rd,Office,Melville,4,3,150,amenity=parking,0,
174,review,990 Stewart Ave,Office,Garden City,5,4,990,building=yes,0,
239,review,Valley Stream Apartments,Residential,Valley Stream,8,3,Valley Stream Road,highway=residential,827196,
270,review,Sunrise at East Meadow,Residential,East Meadow,4,3,Sunrise of East Meadow,amenity=nursing_home,3056,
363,review,Oyster Bay Town Hall,Government,Oyster Bay,3,2,Town of Oyster Bay Town Hall South,amenity=townhall,20287,
394,review,Glen Cove YMCA,Community,Glen Cove,2,1,Glen Cove YMCA,leisure=sports_centre,3231,
409,review,Nassau County Museum of Art,Community,Roslyn Harbor,3,2,Arnold and Joan Saltzman Fine Arts Building,tourism=museum,861,
461,review,300 Jericho Tpke,Office,Jericho,3,3,300,building=house,0,
471,review,100 N Centre Ave,Office,Rockville Centre,2,1,100,building=yes,0,
472,review,50 Broadway Lynbrook,Office,Lynbrook,2,1,50,building=yes,22,
559,review,500 Old Country Rd,Office,Garden City,5,4,500,building=yes,0,
563,review,250 S Service Rd,Office,Melville,4,3,South Service Road,highway=secondary,3647,
603,review,North Shore Hebrew Academy,Community,Great Neck,2,1,North Shore Hebrew Academy,amenity=school,3285,
612,review,The Gallery at Westbury Plaza,Mall,Westbury,2,2,Gallery at Westbury,highway=service,3640,
1,not_found,Winthrop / NYU Langone Hospital,Medical,Mineola,11,8,,,,
6,not_found,Walt Whitman Shops,Mall,Huntington Station,2,5,,,,
9,not_found,Hofstra University — Axinn Library,Education,Hempstead,10,4,,,,
12,not_found,South Nassau / Mount Sinai South Nassau,Medical,Oceanside,8,9,,,,
16,not_found,Adelphi University — Post Hall,Education,Garden City,9,4,,,,
23,not_found,Good Samaritan University Hospital,Medical,West Islip,9,8,,,,
24,not_found,Hauppauge Corporate Center,Office,Hauppauge,8,6,,,,
26,not_found,"Frank Melville Jr. Memorial Library, Stony Brook University",Education,Stony Brook,6,4,,,,
29,not_found,South Shore University Hospital,Medical,Bay Shore,9,8,,,,
30,not_found,Long Island Community Hospital,Medical,Patchogue,7,6,,,,
34,not_found,St. Francis Hospital The Heart Center,Medical,Roslyn,8,7,,,,
38,not_found,Long Island Jewish Medical Center,Medical,New Hyde Park,16,16,,,,
39,not_found,Cohen Children's Medical Center,Medical,New Hyde Park,8,8,,,,
40,not_found,St. Catherine of Siena Medical Center,Medical,Smithtown,7,5,,,,
41,not_found,Northport VA Medical Center,Medical,Northport,8,6,,,,
44,not_found,South Oaks Hospital,Medical,Amityville,5,4,,,,
45,not_found,Northwell Health — Katz Women's Hospital,Medical,New Hyde Park,6,5,,,,
47,not_found,3 Jericho Plaza,Office,Jericho,7,6,3,place=house,0,
48,not_found,333 Earle Ovington Blvd,Office,Uniondale,8,6,333,place=house,577,
54,not_found,Jericho Atrium,Office,Jericho,8,6,,,,
55,not_found,Henry Schein HQ,Office,Melville,6,5,,,,
56,not_found,CA Technologies Campus,Office,Islandia,8,6,,,,
57,not_found,Canon USA HQ,Office,Melville,6,4,,,,
58,not_found,Broadridge Financial Solutions HQ,Office,Lake Success,5,4,,,,
59,not_found,Pall Corporation HQ,Office,Port Washington,6,5,,,,
61,not_found,Newsday Building,Office,Melville,6,5,,,,
64,not_found,Altice USA HQ,Office,Bethpage,8,5,,,,
65,not_found,Northwell Health HQ,Office,New Hyde Park,7,6,,,,
68,not_found,Long Island State Office Building,Office,Hauppauge,6,5,,,,
71,not_found,500 Bi-County Blvd,Office,Farmingdale,6,5,500,place=house,0,
73,not_found,Sheraton Long Island Hotel,Hotel,Smithtown,8,5,,,,
75,not_found,The Allegria Hotel,Hotel,Long Beach,7,4,,,,
76,not_found,Gurney's Montauk Resort & Seawater Spa,Hotel,Montauk,5,3,,,,
79,not_found,Marriott Residence Inn Melville,Hotel,Melville,7,4,,,,
80,not_found,Courtyard Marriott Garden City,Hotel,Garden City,6,4,,,,
81,not_found,Marriott Residence Inn Plainview,Hotel,Plainview,5,3,,,,
83,not_found,Hyatt House Hauppauge,Hotel,Hauppauge,5,3,,,,
86,not_found,Marriott Residence Inn Islandia,Hotel,Islandia,4,3,,,,
90,not_found,SUNY Old Westbury — Campus Center,Education,Old Westbury,5,3,,,,
91,not_found,Farmingdale State College — Gleeson Hall,Education,Farmingdale,4,3,,,,
92,not_found,Nassau Community College — Library,Education,Garden City,6,4,,,,
93,not_found,LIU Post — Hillwood Commons,Education,Brookville,5,3,,,,
94,not_found,NYIT — de Seversky Mansion,Education,Old Westbury,4,3,,,,
95,not_found,Touro Law Center,Education,Central Islip,5,4,,,,
96,not_found,Molloy University — Public Square,Education,Rockville Centre,6,4,,,,
97,not_found,St. Joseph's University — Callahan Library,Education,Patchogue,5,3,,,,
98,not_found,Stony Brook University — Wang Center,Education,Stony Brook,4,4,,,,
99,not_found,Stony Brook University — Administration,Education,Stony Brook,9,6,,,,
100,not_found,Hofstra University — Student Center,Education,Hempstead,4,4,,,,
103,not_found,Nassau County Administrative Building,Government,Mineola,8,6,,,,
105,not_found,US Federal Building & Courthouse,Government,Central Islip,8,6,,,,
106,not_found,Suffolk County Legislative Building,Government,Hauppauge,5,4,,,,
107,not_found,Nassau County Police Headquarters,Government,Mineola,6,5,,,,
108,not_found,IRS Service Center Holtsville,Government,Holtsville,6,5,,,,
110,not_found,Long Island Federal Courthouse,Government,Central Islip,7,5,,,,
111,not_found,Brookhaven Town Hall,Government,Farmingville,4,3,,,,
113,not_found,Suffolk County Family Court,Government,Central Islip,5,4,,,,
114,not_found,Oceanic Tower,Residential,Long Beach,16,6,,,,
115,not_found,Long Beach Towers North,Residential,Long Beach,12,5,,,,
116,not_found,Long Beach Towers South,Residential,Long Beach,12,5,,,,
117,not_found,Bayview Tower,Residential,Great Neck,14,6,,,,
118,not_found,Great Neck Plaza Apartments,Residential,Great Neck,10,4,,,,
119,not_found,Parkwood Apartments,Residential,New Hyde Park,10,4,,,,
120,not_found,The Sutton at Rockville Centre,Residential,Rockville Centre,8,4,,,,
121,not_found,Sunrise Towers,Residential,Valley Stream,10,4,,,,
122,not_found,Port Washington Towers,Residential,Port Washington,9,4,,,,
123,not_found,Mill Creek at Mineola,Residential,Mineola,6,4,,,,
126,not_found,Half Hollow Hills Community Library,Library,Dix Hills,3,2,,,,
128,not_found,Sachem Public Library,Library,Holbrook,3,2,,,,
129,not_found,Long Island MacArthur Airport Terminal,Transit,Ronkonkoma,3,4,,,,
130,not_found,MacArthur Airport Parking Garage,Transit,Ronkonkoma,5,4,,,,
132,not_found,NYU Langone Orthopedic Hospital Syosset,Medical,Syosset,4,3,,,,
133,not_found,Northwell Health Physician Partners,Medical,Great Neck,4,3,,,,
134,not_found,NYU Langone Medical Arts Huntington,Medical,Huntington Station,4,3,,,,
135,not_found,Stony Brook Medicine Commack,Medical,Commack,4,3,,,,
136,not_found,Catholic Health Medical Arts West Islip,Medical,West Islip,4,3,,,,
137,not_found,Northwell Health Manhasset Medical Arts,Medical,Manhasset,5,4,,,,
138,not_found,ProHEALTH Care New Hyde Park,Medical,New Hyde Park,4,3,,,,
139,not_found,Brunswick Medical Arts Building,Medical,Amityville,4,3,,,,
140,not_found,Long Island Heart Associates Building,Medical,Mineola,5,4,,,,
142,not_found,Northwell Health Cancer Institute,Medical,Lake Success,5,4,,,,
143,not_found,Northwell Health Orthopedics Garden City,Medical,Garden City,4,3,,,,
144,not_found,NYU Langone — Lake Success Medical,Medical,Lake Success,4,3,,,,
145,not_found,Mercy Medical Center Medical Office Bldg,Medical,Rockville Centre,4,3,,,,
146,not_found,Northwell Imaging East Meadow,Medical,East Meadow,4,3,,,,
147,not_found,Island Neurological Associates,Medical,Plainview,4,3,,,,
148,not_found,Northwell Imaging at Mineola,Medical,Mineola,4,3,,,,
160,not_found,1 Symbol Plaza,Office,Holtsville,5,4,,,,
161,not_found,3 Corporate Center Dr,Office,Bohemia,5,4,,,,
165,not_found,200 Corporate Center Dr,Office,Islandia,5,4,,,,
173,not_found,100 Fulton Ave,Office,Hempstead,5,4,100,place=house,15412,
175,not_found,50 Applied DNA Dr,Office,Stony Brook,4,3,,,,
179,not_found,Certilman Balin Adler & Hyman LLP,Legal,East Meadow,6,5,,,,
180,not_found,Meltzer Lippe Goldstein & Breitstone LLP,Legal,Mineola,5,4,,,,
181,not_found,Abrams Fensterman LLP,Legal,Lake Success,4,3,,,,
182,not_found,Bond Schoeneck & King PLLC,Legal,Garden City,5,4,,,,
185,not_found,Campolo Middleton & McCormick LLP,Legal,Ronkonkoma,4,3,,,,
186,not_found,Hamburger Maxson Yaffe & McNally LLP,Legal,Melville,4,3,,,,
187,not_found,Farrell Fritz PC,Legal,Uniondale,8,6,,,,
188,not_found,Rivkin Radler LLP,Legal,Uniondale,9,7,,,,
