id,verdict,name,type,town,osm_name,osm_kind,dist_m,name_ok,lat,lng,new_lat,new_lng
314,confirmed,1501 Franklin Ave,Office,Garden City,Nassau County Executive Building,office=government,122,False,40.73744,-73.63855,,
325,confirmed,1305 Walt Whitman Rd,Office,Melville,KPMG,office=consulting,43,False,40.7846,-73.4225,,
335,confirmed,1100 Old Country Rd,Office,Plainview,Plainview Water District,office=water_utility,65,False,40.7779,-73.4673,,
341,confirmed,Northwell Robotic Surgery Center Manhasset,Medical,Manhasset,North Shore University Hospital,amenity=hospital,33,False,40.775,-73.7009,,
347,confirmed,Northwell Health Dermatology Garden City,Medical,Garden City,CVS Pharmacy,amenity=pharmacy,101,False,40.7272,-73.6337,,
392,confirmed,Huntington YMCA,Community,Huntington,Huntington Historical Society,building=civic,116,False,40.8688,-73.4266,,
425,confirmed,Oceanside Medical Arts,Medical,Oceanside,CVS Pharmacy,amenity=pharmacy,105,False,40.62709,-73.64059,,
472,confirmed,50 Broadway Lynbrook,Office,Lynbrook,eXp Realty,office=estate_agent,115,False,40.6558,-73.6732,,
475,confirmed,Bayberry Professional Center,Office,Woodbury,100 Crossways Park Drive West,building=commercial,0,False,40.80749,-73.48983,,
486,confirmed,Plainview Commons Medical Center,Medical,Plainview,Hadi Medical Group - Plainview,amenity=doctors,7,False,40.77388,-73.47924,,
504,confirmed,NYU Langone Obstetrics Garden City,Medical,Garden City,CVS Pharmacy,amenity=pharmacy,55,False,40.7269,-73.6342,,
507,confirmed,Stony Brook Medicine Riverhead,Medical,Riverhead,General Dentistry,amenity=dentist,61,False,40.93019,-72.67153,,
511,confirmed,New York Community Bancorp HQ,Financial,Hicksville,Ridgewood Savings Bank,amenity=bank,81,False,40.763,-73.5257,,
570,confirmed,25 Orville Dr,Office,Bohemia,fishbat,building=commercial,9,False,40.78089,-73.10162,,
597,confirmed,Adventureland Amusement Park,Entertainment,Farmingdale,Long Island BootCamp Farmingdale,leisure=fitness_centre,145,False,40.75264,-73.41958,,
73,not_found,Sheraton Long Island Hotel,Hotel,Smithtown,,,,False,40.8557,-73.2101,,
81,not_found,Marriott Residence Inn Plainview,Hotel,Plainview,,,,False,40.7732,-73.47921,,
82,not_found,Hampton Inn Garden City,Hotel,Garden City,,,,False,40.72317,-73.65887,,
84,not_found,Holiday Inn Express Hauppauge,Hotel,Hauppauge,,,,False,40.8274,-73.2138,,
85,not_found,Marriott Courtyard Ronkonkoma,Hotel,Ronkonkoma,,,,False,40.8047,-73.1155,,
86,not_found,Marriott Residence Inn Islandia,Hotel,Islandia,,,,False,40.7871,-73.1724,,
87,not_found,Homewood Suites Melville,Hotel,Melville,,,,False,40.7684,-73.4108,,
106,not_found,Suffolk County Legislative Building,Government,Hauppauge,,,,False,40.82477,-73.23282,,
108,not_found,IRS Service Center Holtsville,Government,Holtsville,,,,False,40.8084,-73.0455,,
110,not_found,Long Island Federal Courthouse,Government,Central Islip,,,,False,40.7854,-73.1998,,
117,not_found,Bayview Tower,Residential,Great Neck,,,,False,40.80795,-73.74807,,
121,not_found,Sunrise Towers,Residential,Valley Stream,,,,False,40.6663,-73.7083,,
126,not_found,Half Hollow Hills Community Library,Library,Dix Hills,,,,False,40.7848,-73.3716,,
129,not_found,Long Island MacArthur Airport Terminal,Transit,Ronkonkoma,,,,False,40.7975,-73.0995,,
130,not_found,MacArthur Airport Parking Garage,Transit,Ronkonkoma,,,,False,40.7963,-73.0998,,
135,not_found,Stony Brook Medicine Commack,Medical,Commack,,,,False,40.82421,-73.29293,,
161,not_found,3 Corporate Center Dr,Office,Bohemia,,,,False,40.7702,-73.1273,,
165,not_found,200 Corporate Center Dr,Office,Islandia,,,,False,40.7868,-73.1719,,
181,not_found,Abrams Fensterman LLP,Legal,Lake Success,,,,False,40.7608,-73.69047,,
186,not_found,Hamburger Maxson Yaffe & McNally LLP,Legal,Melville,,,,False,40.78539,-73.41547,,
187,not_found,Farrell Fritz PC,Legal,Uniondale,,,,False,40.7261,-73.5874,,
188,not_found,Rivkin Radler LLP,Legal,Uniondale,,,,False,40.7259,-73.5879,,
189,not_found,Ruskin Moscou Faltischek PC,Legal,Uniondale,,,,False,40.7257,-73.5877,,
191,not_found,Forchelli Deegan Terrana LLP,Legal,Uniondale,,,,False,40.7247,-73.5896,,
195,not_found,The Southampton Inn,Hotel,Southampton,,,,False,40.8837,-72.3878,,
198,not_found,Hampton Inn Farmingdale,Hotel,Farmingdale,,,,False,40.727,-73.44221,,
199,not_found,La Quinta Inn Hauppauge,Hotel,Hauppauge,,,,False,40.7817,-73.2184,,
202,not_found,The Ram's Head Inn,Hotel,Shelter Island,,,,False,41.0651,-72.3387,,
204,not_found,Inn at Great Neck,Hotel,Great Neck,,,,False,40.7985,-73.7312,,
205,not_found,Marriott Courtyard Melville,Hotel,Melville,,,,False,40.7547,-73.4619,,
206,not_found,Comfort Inn & Suites Port Jefferson,Hotel,Port Jefferson Station,,,,False,40.9219,-73.0585,,
227,not_found,Babylon Town Hall,Government,Lindenhurst,,,,False,40.6867,-73.3866,,
229,not_found,North Shore Towers,Residential,Floral Park,,,,False,40.7401,-73.7081,,
235,not_found,Great Neck South Apartments,Residential,Great Neck,,,,False,40.78386,-73.7455,,
240,not_found,Parkway Village Towers,Residential,New Hyde Park,,,,False,40.74217,-73.67137,,
243,not_found,Baldwin Harbor Apartments,Residential,Baldwin,,,,False,40.63593,-73.61315,,
245,not_found,Hauppauge Public Library,Library,Hauppauge,,,,False,40.82584,-73.2399,,
246,not_found,Brentwood Public Library,Library,Brentwood,,,,False,40.7832,-73.2484,,
261,not_found,Parker Jewish Institute,Residential,New Hyde Park,,,,False,40.7416,-73.7077,,
263,not_found,Peconic Landing at Southold,Residential,Greenport,,,,False,41.12213,-72.36205,,
269,not_found,Glengariff Healthcare Center,Residential,Glen Cove,,,,False,40.88286,-73.63655,,
271,not_found,The Vanderbilt at Plainview,Residential,Plainview,,,,False,40.7769,-73.4672,,
272,not_found,Meadowbrook Pointe,Residential,Westbury,,,,False,40.7497,-73.5728,,
281,not_found,Massapequa Towers,Residential,Massapequa,,,,False,40.6773,-73.45054,,
298,not_found,Four Points by Sheraton Melville,Hotel,Melville,,,,False,40.7567,-73.4108,,
299,not_found,Springhill Suites Garden City,Hotel,Garden City,,,,False,40.7173,-73.66074,,
301,not_found,Hampton Inn & Suites Bethpage,Hotel,Bethpage,,,,False,40.7501,-73.4837,,
304,not_found,Marriott Courtyard Hauppauge,Hotel,Ronkonkoma,,,,False,40.8062,-73.1196,,
305,not_found,North Fork Table & Inn,Hotel,Southold,,,,False,41.0641,-72.4295,,
332,not_found,1 Astoria Blvd,Office,Bohemia,,,,False,40.7701,-73.1271,,
345,not_found,NYU Langone Medical Commack,Medical,Commack,,,,False,40.8421,-73.2845,,
354,not_found,Long Island Spine Specialists,Medical,Greenlawn,,,,False,40.85772,-73.38708,,
356,not_found,South Shore Neurologic Associates,Medical,Patchogue,,,,False,40.76753,-72.99425,,
365,not_found,Nassau County Corrections HQ,Government,East Meadow,,,,False,40.7265,-73.5539,,
370,not_found,Suffolk County Traffic & Parking Violations,Government,Hauppauge,,,,False,40.82074,-72.91811,,
391,not_found,Freeport YMCA,Community,Freeport,,,,False,40.658,-73.5832,,
393,not_found,Hempstead YMCA,Community,Hempstead,,,,False,40.7062,-73.6195,,
394,not_found,Glen Cove YMCA,Community,Glen Cove,,,,False,40.85215,-73.63504,,
395,not_found,Westbury YMCA,Community,Westbury,,,,False,40.7552,-73.5882,,
398,not_found,Commack YMCA,Community,Commack,,,,False,40.8462,-73.2844,,
399,not_found,Brentwood YMCA,Community,Brentwood,,,,False,40.784,-73.2458,,
402,not_found,East Meadow YMCA,Community,East Meadow,,,,False,40.7224,-73.5622,,
405,not_found,JCC of the Greater Five Towns,Community,Woodmere,,,,False,40.6361,-73.7192,,
406,not_found,Sands Point Preserve — Hempstead House,Community,Sands Point,,,,False,40.86119,-73.69768,,
416,not_found,Wantagh Medical Center,Medical,Wantagh,,,,False,40.6731,-73.509,,
417,not_found,Lindenhurst Medical Arts,Medical,Lindenhurst,,,,False,40.6903,-73.3843,,
418,not_found,Deer Park Medical Center,Medical,Deer Park,,,,False,40.76656,-73.33115,,
419,not_found,Coram Medical Arts,Medical,Coram,,,,False,40.876,-73.0054,,
420,not_found,Centereach Medical Center,Medical,Centereach,,,,False,40.85832,-73.08273,,
421,not_found,Bohemia Medical Arts,Medical,Bohemia,,,,False,40.7697,-73.1267,,
423,not_found,Setauket Medical Center,Medical,East Setauket,,,,False,40.9297,-73.1051,,
441,not_found,Comsewogue Public Library,Library,Port Jefferson Station,,,,False,40.9221,-73.0421,,
465,not_found,300 Corporate Dr Bohemia,Office,Bohemia,,,,False,40.7694,-73.1291,,
491,not_found,Memorial Sloan Kettering Commack,Medical,Commack,,,,False,40.80964,-73.29329,,
499,not_found,New York Cancer & Blood Specialists Shirley,Medical,Shirley,,,,False,40.8084,-72.8801,,
500,not_found,Island Hospice & Healthcare,Medical,Hauppauge,,,,False,40.82717,-73.24439,,
502,not_found,Stony Brook Cardiology Commack,Medical,Commack,,,,False,40.82498,-73.29281,,
509,not_found,CareMount Medical Melville,Medical,Melville,,,,False,40.81958,-73.41157,,
510,not_found,St. Francis Hospital Outpatient Greenvale,Medical,Greenvale,,,,False,40.8038,-73.6396,,
514,not_found,Dime Community Bank HQ,Financial,Hauppauge,,,,False,40.8194,-73.2079,,
515,not_found,Island Federal Credit Union HQ,Financial,Hauppauge,,,,False,40.89572,-73.12908,,
524,not_found,Long Island Community Bank HQ,Financial,Islandia,,,,False,40.7808,-73.1823,,
528,not_found,The Bristal at Jericho,Residential,Jericho,,,,False,40.78171,-73.53214,,
537,not_found,East Hampton Village Green,Residential,East Hampton,,,,False,40.9629,-72.1856,,
539,not_found,Three Village Apartments,Residential,East Setauket,,,,False,40.9297,-73.1046,,
540,not_found,Atria Stamford,Residential,Smithtown,,,,False,40.8558,-73.1992,,
543,not_found,East Wind Long Island,Hotel,Wading River,,,,False,40.9489,-72.8344,,
544,not_found,Hampton Inn Southampton,Hotel,Southampton,,,,False,40.89958,-72.37713,,
549,not_found,Hyatt Place Melville,Hotel,Melville,,,,False,40.79434,-73.44058,,
550,not_found,Hampton Inn Melville,Hotel,Melville,,,,False,40.7574,-73.4123,,
551,not_found,Extended Stay America Hauppauge,Hotel,Hauppauge,,,,False,40.7818,-73.2189,,
553,not_found,Southold Inn,Hotel,Southold,,,,False,41.0646,-72.429,,
564,not_found,200 S Oyster Bay Rd,Office,Bethpage,,,,False,40.7534,-73.4817,,
578,not_found,Quogue Village Hall,Government,Quogue,,,,False,40.83072,-72.60617,,
601,not_found,Temple Beth El Great Neck,Community,Great Neck,,,,False,40.7961,-73.7343,,
603,not_found,North Shore Hebrew Academy,Community,Great Neck,,,,False,40.7748,-73.7124,,
605,not_found,Midway YMCA Bethpage,Community,Bethpage,,,,False,40.7527,-73.484,,
606,not_found,East End Arts Council,Community,Riverhead,,,,False,40.9162,-72.6569,,
607,not_found,Catholic Charities Long Island,Community,Rockville Centre,,,,False,40.6629,-73.6392,,
608,not_found,North Shore Unitarian Universalist Society,Community,Manhasset,,,,False,40.76539,-73.67064,,
610,not_found,Babylon-Amityville Council on the Arts,Community,Babylon,,,,False,40.6998,-73.3252,,
616,not_found,Sterling Bancorp Long Island,Financial,Montebello,,,,False,41.1218,-74.0913,,
618,not_found,Citibank Long Island Regional,Financial,Lake Success,,,,False,40.76682,-73.69433,,
620,not_found,Investors Bank Long Island,Financial,Uniondale,,,,False,40.7088,-73.601,,
622,not_found,Schweiger Dermatology Group Commack,Dermatology,Commack,,,,False,40.8425,-73.286,,
625,not_found,Advanced Dermatology Huntington,Dermatology,Huntington,,,,False,40.85132,-73.40027,,
627,not_found,Advanced Dermatology Melville,Dermatology,Melville,,,,False,40.7623,-73.4147,,
635,not_found,Stony Brook Dermatology East Setauket,Dermatology,East Setauket,,,,False,40.9211,-73.1104,,
638,not_found,Northwell Health PT Huntington,Physical Therapy,Huntington,,,,False,40.88013,-73.40007,,
654,not_found,Zwanger-Pesiri Radiology Commack,Radiology,Commack,,,,False,40.8432,-73.2825,,
1,relocate,Winthrop / NYU Langone Hospital,Medical,Mineola,Winthrop Cardiology Associates,healthcare=centre,317,True,40.7479,-73.6407,40.748347,-73.644413
50,relocate,900 Stewart Ave,Office,Garden City,901 Stewart Avenue,building=commercial,269,True,40.7337,-73.59849,40.734927,-73.601235
62,relocate,1111 Marcus Ave,Office,Lake Success,2500 Marcus Ave,building=commercial,369,True,40.75638,-73.69966,40.759249,-73.697467
68,relocate,Long Island State Office Building,Office,Hauppauge,Residence Inn Long Island Hauppauge/Islandia,tourism=hotel,347,True,40.8207,-73.2082,40.81989,-73.204213
78,relocate,Hilton Garden Inn Roslyn,Hotel,Roslyn,"The Roslyn, Tapestry Collection by Hilton",tourism=hotel,344,True,40.7986,-73.6534,40.801578,-73.652302
89,relocate,Marriott Courtyard Uniondale,Hotel,Uniondale,Long Island Marriott,tourism=hotel,786,True,40.72497,-73.57851,40.723593,-73.587656
91,relocate,Farmingdale State College — Gleeson Hall,Education,Farmingdale,Farmingdale State College (SUNY),amenity=university,223,True,40.75188,-73.4329,40.753777,-73.432061
93,relocate,LIU Post — Hillwood Commons,Education,Brookville,Long Island University C. W. Post Campus,amenity=university,677,True,40.8099,-73.5965,40.815092,-73.592291
104,relocate,Suffolk County Courthouse,Government,Riverhead,Suffolk County Supreme Court House Annex,amenity=courthouse,435,True,40.9163,-72.6608,40.918417,-72.66515
107,relocate,Nassau County Police Headquarters,Government,Mineola,Nassau County Courthouse,amenity=courthouse,764,True,40.7453,-73.6373,40.7388,-73.634356
133,relocate,Northwell Health Physician Partners,Medical,Great Neck,Northwell Health,amenity=doctors,582,True,40.78468,-73.7096,40.782789,-73.716047
140,relocate,Long Island Heart Associates Building,Medical,Mineola,NYU Langone Hospital Long Island,amenity=hospital,350,True,40.73919,-73.63887,40.740829,-73.642412
169,relocate,999 Stewart Ave,Office,Garden City,1101 Stewart Avenue,building=office,244,True,40.73568,-73.597,40.736201,-73.594187
174,relocate,990 Stewart Ave,Office,Garden City,1101 Stewart Avenue,building=office,317,True,40.73403,-73.59663,40.736201,-73.594187
217,relocate,SUNY Farmingdale — Administration Bldg,Education,Farmingdale,Farmingdale State College (SUNY),amenity=university,245,True,40.75162,-73.43266,40.753777,-73.432061
226,relocate,Suffolk County Clerk Building,Government,Riverhead,Suffolk County Supreme Court House Annex,amenity=courthouse,515,True,40.9158,-72.6601,40.918417,-72.66515
228,relocate,Theodore Roosevelt Exec & Legislative Bldg,Government,Mineola,Ralph Gaso Executive and Legislative Building,office=government,840,True,40.7448,-73.6368,40.7378,-73.640559
239,relocate,Valley Stream Apartments,Residential,Valley Stream,South Grove Apartments,building=apartments,601,True,40.6622,-73.7048,40.660606,-73.697988
257,relocate,Long Island Children's Museum,Entertainment,Garden City,Museum Row,leisure=park,878,True,40.7255,-73.5893,40.728255,-73.599068
282,relocate,Roslyn Harbor Condos,Residential,Roslyn,Fairfield Knolls on Roslyn Harbor,building=residential,922,True,40.7974,-73.6501,40.805562,-73.648147
337,relocate,Long Island Technology Campus,Office,Hauppauge,Residence Inn Long Island Hauppauge/Islandia,tourism=hotel,343,True,40.8172,-73.2062,40.81989,-73.204213
342,relocate,Northwell Health Cancer Institute Lake Success,Medical,Lake Success,Monter Cancer Center,amenity=clinic,231,True,40.75679,-73.7045,40.757005,-73.701771
383,relocate,Cradle of Aviation Museum,Entertainment,Garden City,Museum Row,leisure=park,906,True,40.7254,-73.589,40.728255,-73.599068
385,relocate,Vanderbilt Museum — Hall of Fishes,Entertainment,Centerport,"Vanderbilt Museum, Mansion, and Planetarium",tourism=museum,784,True,40.9072,-73.3764,40.905384,-73.36739
389,relocate,Patchogue Theatre for the Performing Arts,Entertainment,Patchogue,Plaza Cinema & Media Arts Center,amenity=cinema,230,True,40.7655,-73.0156,40.764127,-73.013562
412,relocate,Rockville Centre Medical Arts,Medical,Rockville Centre,South Nassau Dental Arts,amenity=dentist,826,True,40.6643,-73.6376,40.65922,-73.644744
459,relocate,Nassau County DMV Hempstead,Government,Hempstead,Nassau County District Court,office=government,437,True,40.7061,-73.6183,40.707379,-73.623207
485,relocate,Stony Brook Medical Pavilion East,Medical,East Setauket,Stony Brook University Hospital,amenity=hospital,735,True,40.9118,-73.1071,40.908538,-73.114711
492,relocate,Stony Brook Southampton Hospital Outpatient,Medical,Southampton,Stony Brook Cardiology & Specialty Care,amenity=doctors,208,True,40.89741,-72.37361,40.898702,-72.375402
508,relocate,Northwell Pediatric Specialty Great Neck,Medical,Great Neck,Northwell Health,amenity=doctors,681,True,40.78565,-73.7089,40.782789,-73.716047
516,relocate,Flushing Bank Long Island Regional,Financial,Mineola,Bank of America,amenity=bank,283,True,40.746,-73.6417,40.748129,-73.643544
517,relocate,Valley National Bank Garden City,Financial,Garden City,Texas Capital Bank,office=financial,224,True,40.727,-73.634,40.728586,-73.635635
519,relocate,Greater Hudson Savings Bank,Financial,Merrick,Roslyn Savings Bank,amenity=bank,441,True,40.66995,-73.55463,40.666204,-73.55293
522,relocate,TD Bank Regional Headquarters,Financial,Garden City,Texas Capital Bank,office=financial,211,True,40.7273,-73.6338,40.728586,-73.635635
523,relocate,JP Morgan Chase Long Island,Financial,Mineola,Chase Bank,amenity=bank,524,True,40.7472,-73.6398,40.751041,-73.636194
559,relocate,500 Old Country Rd,Office,Garden City,One Old Country Road,office=yes,253,True,40.74245,-73.61864,40.742773,-73.621611
576,relocate,Nassau County Traffic & Parking Agency,Government,Hempstead,Nassau County District Court,office=government,481,True,40.7074,-73.6175,40.707379,-73.623207
588,relocate,Smithtown High School East,Education,Commack,Smithtown High School West,amenity=school,924,True,40.86673,-73.25262,40.863323,-73.242594
589,relocate,Massapequa High School,Education,Massapequa,Massapequa High School - Main Campus,amenity=school,664,True,40.672,-73.46,40.669715,-73.452729
595,relocate,Life Time Fitness Garden City,Entertainment,Garden City,Hofstra University Health and Fitness Center,leisure=sports_centre,628,True,40.719,-73.6052,40.721659,-73.598619
596,relocate,Life Time Fitness Port Washington,Entertainment,Port Washington,Fitness Systems,leisure=fitness_centre,605,True,40.84256,-73.70637,40.841144,-73.713314
598,relocate,Caumsett State Park — Manor,Entertainment,Lloyd Neck,Caumsett,leisure=nature_reserve,1340,True,40.9186,-73.4723,40.93063,-73.473308
619,relocate,First National Bank of LI HQ,Financial,Glen Head,Apple Bank,amenity=bank,792,True,40.8369,-73.6278,40.841407,-73.635095
633,relocate,Northwell Health Dermatology Lake Success,Dermatology,Lake Success,Northwell Health Clinical Laboratories of New York,amenity=clinic,408,True,40.7595,-73.7176,40.760481,-73.722265
2,review,RXR Plaza,Office,Uniondale,,building=office,677,False,40.7257,-73.5876,,
10,review,Garden City Hotel,Hotel,Garden City,The Garden City Hotel,tourism=hotel,258,False,40.7268,-73.6398,,
12,review,South Nassau / Mount Sinai South Nassau,Medical,Oceanside,,amenity=doctors,527,False,40.6388,-73.6334,,
17,review,1 Jericho Plaza,Office,Jericho,,building=office,202,False,40.792,-73.5398,,
27,review,Peconic Bay Medical Center,Medical,Riverhead,"Sound Gynecologic Oncology, PLLC",amenity=doctors,568,False,40.9192,-72.6631,,
29,review,South Shore University Hospital,Medical,Bay Shore,Bay Shore Home Healthcare,healthcare=yes,756,False,40.7284,-73.2515,,
37,review,Syosset Hospital,Medical,Syosset,Shine Dental,amenity=dentist,386,False,40.8134,-73.5013,,
40,review,St. Catherine of Siena Medical Center,Medical,Smithtown,CityMD,amenity=clinic,554,False,40.8533,-73.2136,,
41,review,Northport VA Medical Center,Medical,Northport,Northport Veterans Hospital,amenity=hospital,388,False,40.89705,-73.31371,,
45,review,Northwell Health — Katz Women's Hospital,Medical,New Hyde Park,,amenity=doctors,468,False,40.7421,-73.7074,,
48,review,333 Earle Ovington Blvd,Office,Uniondale,,building=office,673,False,40.7246,-73.5895,,
49,review,100 Garden City Plaza,Office,Garden City,,building=commercial,365,False,40.75735,-73.65526,,
52,review,175 Broadhollow Rd,Office,Melville,,building=commercial,200,False,40.78693,-73.41472,,
54,review,Jericho Atrium,Office,Jericho,,building=office,333,False,40.7876,-73.5402,,
56,review,CA Technologies Campus,Office,Islandia,,building=commercial,426,False,40.7801,-73.1789,,
57,review,Canon USA HQ,Office,Melville,,building=commercial,274,False,40.7812,-73.4083,,
66,review,400 Post Ave,Office,Westbury,Rodriguez Agency,office=tax_advisor,567,False,40.76286,-73.58628,,
69,review,800 Community Dr,Office,Manhasset,Community Drive Medical Center,building=commercial,302,False,40.7763,-73.7022,,
79,review,Marriott Residence Inn Melville,Hotel,Melville,,building=hotel,590,False,40.7773,-73.4076,,
83,review,Hyatt House Hauppauge,Hotel,Hauppauge,Holiday Inn Express,tourism=hotel,802,False,40.80254,-73.2281,,
94,review,NYIT — de Seversky Mansion,Education,Old Westbury,Saint Brigid - Our Lady of Hope Regional School,amenity=school,396,False,40.7546,-73.5989,,
113,review,Suffolk County Family Court,Government,Central Islip,Alfonse D'Amato United States Courthouse for the Eastern District of New York,amenity=courthouse,317,False,40.76088,-73.19401,,
118,review,Great Neck Plaza Apartments,Residential,Great Neck,,building=apartments,161,False,40.78767,-73.72699,,
119,review,Parkwood Apartments,Residential,New Hyde Park,,building=apartments,731,False,40.7598,-73.69545,,
125,review,Port Washington Public Library,Library,Port Washington,Port Washington Public Library,amenity=library,603,False,40.8269,-73.6942,,
136,review,Catholic Health Medical Arts West Islip,Medical,West Islip,West Islip Orthodontists,amenity=doctors,611,False,40.7012,-73.2998,,
137,review,Northwell Health Manhasset Medical Arts,Medical,Manhasset,North Shore University Hospital,amenity=hospital,180,False,40.7735,-73.7001,,
138,review,ProHEALTH Care New Hyde Park,Medical,New Hyde Park,NY Imaging Specialists,amenity=clinic,490,False,40.76312,-73.69045,,
139,review,Brunswick Medical Arts Building,Medical,Amityville,Amityville Dental,amenity=dentist,258,False,40.6763,-73.4182,,
143,review,Northwell Health Orthopedics Garden City,Medical,Garden City,Orlin & Cohen,amenity=doctors,716,False,40.73476,-73.60211,,
144,review,NYU Langone — Lake Success Medical,Medical,Lake Success,Northwell Health Clinical Laboratories of New York,amenity=clinic,391,False,40.7629,-73.7189,,
146,review,Northwell Imaging East Meadow,Medical,East Meadow,Winthrop Physical Therapy,healthcare=physiotherapist,637,False,40.7208,-73.5538,,
147,review,Island Neurological Associates,Medical,Plainview,CVS Pharmacy,amenity=pharmacy,678,False,40.77034,-73.49955,,
148,review,Northwell Imaging at Mineola,Medical,Mineola,United Sleep Center,amenity=clinic,423,False,40.7375,-73.64878,,
151,review,400 Garden City Plaza,Office,Garden City,,office=property_management,329,False,40.73666,-73.61712,,
153,review,135 Pinelawn Rd,Office,Melville,,building=commercial,197,False,40.767,-73.4121,,
155,review,1401 Franklin Ave,Office,Garden City,,building=commercial,247,False,40.73614,-73.63784,,
157,review,50 Charles Lindbergh Blvd,Office,Uniondale,,building=office,824,False,40.7243,-73.5921,,
158,review,900 Merchants Concourse,Office,Westbury,New York TRACON,office=government,850,False,40.74466,-73.59162,,
170,review,600 Old Country Rd,Office,Garden City,Village of Garden City,office=government,378,False,40.7232,-73.6371,,
173,review,100 Fulton Ave,Office,Hempstead,Front Street Financial Center,office=financial,385,False,40.7061,-73.6334,,
175,review,50 Applied DNA Dr,Office,Stony Brook,Long Island High Technology Incubator,building=commercial,699,False,40.90679,-73.11077,,
176,review,3601 Broadhollow Rd,Office,Farmingdale,,building=commercial,186,False,40.7347,-73.4371,,
177,review,300 Garden City Plaza,Office,Garden City,,office=property_management,265,False,40.73632,-73.61608,,
179,review,Certilman Balin Adler & Hyman LLP,Legal,East Meadow,Mirotznik & Assoc,office=lawyer,744,False,40.7192,-73.5539,,
180,review,Meltzer Lippe Goldstein & Breitstone LLP,Legal,Mineola,Village of Mineola,office=government,254,False,40.7478,-73.6387,,
182,review,Bond Schoeneck & King PLLC,Legal,Garden City,Village of Garden City,office=government,242,False,40.7272,-73.6339,,
185,review,Campolo Middleton & McCormick LLP,Legal,Ronkonkoma,"Germano & Cahill, P.C.",office=lawyer,508,False,40.78299,-73.09865,,
190,review,Nixon Peabody LLP Long Island,Legal,Garden City,Village of Garden City,office=government,379,False,40.7279,-73.6325,,
194,review,Gurney's Star Island Resort,Hotel,Montauk,Montauk Yacht Club,tourism=hotel,167,False,41.06906,-71.93233,,
200,review,Hampton Inn East End Riverhead,Hotel,Riverhead,Preston House & Hotel,tourism=hotel,747,False,40.9152,-72.6641,,
213,review,NYIT — Education Hall,Education,Old Westbury,Saint Brigid - Our Lady of Hope Regional School,amenity=school,433,False,40.7548,-73.5994,,
215,review,Dowling College — Kramer Science Center,Education,Oakdale,,building=school,520,False,40.7351,-73.1282,,
221,review,Glen Cove City Hall,Government,Glen Cove,Glen Cove City Hall,amenity=townhall,735,False,40.863,-73.6227,,
222,review,Huntington Town Hall,Government,Huntington,Town of Huntington,office=government,676,False,40.8699,-73.4257,,
223,review,Long Beach City Hall,Government,Long Beach,City of Long Beach,office=government,837,False,40.588,-73.6565,,
225,review,Southampton Town Hall,Government,Southampton,Village of Southampton,office=government,264,False,40.8826,-72.3888,,
236,review,Port Washington Waterfront Condos,Residential,Port Washington,,building=apartments,422,False,40.8329,-73.6971,,
238,review,Rockville Centre Residences,Residential,Rockville Centre,,building=apartments,210,False,40.6578,-73.6401,,
