id,name,type,town,verified,verified_by,osm_name,osm_sim,osm_dist_m,osm_kind,wd_label,wd_desc,wd_dist_m,biz_name,biz_dist_m,census_match,census_dist_m,new_lat,new_lng
16,Adelphi University — Post Hall,Education,Garden City,True,osm,Adelphi University,1.0,47,amenity=university,,,,,,True,4189,,
17,1 Jericho Plaza,Office,Jericho,True,osm,1 Jericho Plaza,1.0,849,building=yes,,,,,,True,957,40.786142,-73.546265
18,Sunrise Mall,Mall,Massapequa,False,,Sunrise Mall Bus Terminal,1.0,214,amenity=bus_station,,,,,,True,160,,
19,One Hollow Lane,Office,Lake Success,False,,,,,,,,,,,False,,,
20,Huntington Hospital (Northwell Health),Medical,Huntington,True,osm,Huntington Hospital,1.0,1,amenity=hospital,,,,,,True,132,,
21,Hilton Long Island / Huntington,Hotel,Melville,True,osm,Hilton Long Island/Huntington,1.0,365,tourism=hotel,,,,,,False,,40.763844,-73.42508
22,Melville Marriott Long Island,Hotel,Melville,True,osm,Marriott Melville Long Island,1.0,3,tourism=hotel,,,,,,True,295,,
23,Good Samaritan University Hospital,Medical,West Islip,True,osm,Good Samaritan Hospital Medical Center,0.75,82,amenity=hospital,Good Samaritan University Hospital,"hospital in West Islip, New York, United States",235,,,True,192,,
24,Hauppauge Corporate Center,Office,Hauppauge,False,,Hauppauge Substation,0.5,1231,feature,,,,,,False,,,
25,Smith Haven Mall,Mall,Lake Grove,True,osm,Smith Haven Mall,1.0,821,shop=mall,,,,,,False,,40.865058,-73.130287
26,"Frank Melville Jr. Memorial Library, Stony Brook University",Education,Stony Brook,True,osm,Frank Melville Jr. Memorial Library,1.0,14,amenity=library,,,,,,False,,,
27,Peconic Bay Medical Center,Medical,Riverhead,False,,Peconic Bay Medical Center,1.0,1925,amenity=hospital,Peconic Bay Medical Center,"healthcare organization in Riverhead, United States",1934,,,False,,,
28,John T. Mather Memorial Hospital,Medical,Port Jefferson,True,osm,John T. Mather Memorial Hospital,1.0,29,amenity=hospital,,,,,,False,,,
29,South Shore University Hospital,Medical,Bay Shore,True,wiki,Westfield South Shore,0.67,1334,shop=mall,South Shore University Hospital,"hospital in New York, United States",943,,,True,966,40.725833,-73.240833
30,Long Island Community Hospital,Medical,Patchogue,False,,Long Island Power Network,0.5,8299,feature,Brookhaven Memorial Hospital Medical Center,"healthcare organization in Patchogue, United States",68,,,True,147,,
31,Eastern Long Island Hospital,Medical,Greenport,True,osm,Eastern Long Island Hospital Heliport,1.0,735,aeroway=helipad,,,,,,True,874,41.109956,-72.360119
32,Stony Brook Southampton Hospital,Medical,Southampton,True,osm,Stony Brook Southampton Hospital,1.0,545,amenity=hospital,,,,,,True,511,40.88505,-72.380739
33,Mercy Medical Center,Medical,Rockville Centre,True,osm,Mercy Medical Center,1.0,18,amenity=hospital,,,,,,False,,,
34,St. Francis Hospital The Heart Center,Medical,Roslyn,True,osm,Saint Francis Hospital,0.67,14,amenity=hospital,,,,,,True,177,,
35,Glen Cove Hospital,Medical,Glen Cove,True,osm,Glen Cove Hospital,1.0,20,building=hospital,,,,,,True,155,,
36,Plainview Hospital,Medical,Plainview,True,osm,Plainview Hospital,1.0,952,amenity=hospital,,,,,,True,890,40.774941,-73.478834
37,Syosset Hospital,Medical,Syosset,True,osm,Syosset Hospital,1.0,632,amenity=hospital,,,,,,True,710,40.810972,-73.508088
38,Long Island Jewish Medical Center,Medical,New Hyde Park,True,osm,Long Island Jewish Medical Center,1.0,176,amenity=hospital,,,,,,True,198,40.755667,-73.707712
39,Cohen Children's Medical Center,Medical,New Hyde Park,True,osm,Cohen’s Children’s Medical Center,1.0,0,amenity=hospital,,,,,,True,142,,
40,St. Catherine of Siena Medical Center,Medical,Smithtown,False,,Saint Catherine of Sienna Medical Center,0.75,1924,amenity=hospital,,,,,,True,1431,,
41,Northport VA Medical Center,Medical,Northport,True,wiki,SCT S41 - Bay Shore --> Northport VA Medical Center,1.0,9903,feature,Northport VA Medical Center,"healthcare organization in Northport, United States",556,,,False,,40.893707,-73.308785
42,St. Charles Hospital,Medical,Port Jefferson,True,osm,Saint Charles Hospital,1.0,16,amenity=hospital,,,,,,True,186,,
43,St. Joseph Hospital,Medical,Bethpage,True,osm,St Joseph Hospital,1.0,13,amenity=doctors,,,,,,True,64,,
44,South Oaks Hospital,Medical,Amityville,True,wiki,Brunswick Hospital Center,0.33,133,amenity=hospital,South Oaks Hospital,"power station with capacity >1MW in Suffolk County, New York",259,,,True,828,40.6853,-73.4258
45,Northwell Health — Katz Women's Hospital,Medical,New Hyde Park,False,,Katz Women's Hospital,1.0,1365,amenity=hospital,,,,,,True,1308,,
46,2 Jericho Plaza,Office,Jericho,True,osm,2 Jericho Plaza,1.0,10,building=commercial,,,,,,True,216,,
47,3 Jericho Plaza,Office,Jericho,False,,1 Jericho Plaza,1.0,117,building=yes,,,,,,True,8,,
48,333 Earle Ovington Blvd,Office,Uniondale,True,fsq,,,,,,,,333 Earle Ovington Blvd.,355,True,582,40.72491,-73.593687
49,100 Garden City Plaza,Office,Garden City,False,,Garden City Food,0.67,1520,shop=supermarket,,,,,,True,3937,,
50,900 Stewart Ave,Office,Garden City,True,fsq,877 Stewart Ave,0.67,332,building=commercial,900 Stewart Avenue,"building in Ithaca, New York",307160,900 Stewart Ave. Atrium,40,True,127,,
51,585 Stewart Ave,Office,Garden City,True,osm,585 Stewart AVenue,0.67,0,building=office,,,,,,True,143,,
52,175 Broadhollow Rd,Office,Melville,True,fsq,,,,,,,,175 Broadhollow Road,60,False,,,
53,1010 Northern Blvd,Office,Great Neck,True,fsq,,,,,,,,1010 Northern Blvd,30,True,174,,
54,Jericho Atrium,Office,Jericho,False,,Jericho Fire Department,0.5,341,amenity=fire_station,,,,,,False,,,
55,Henry Schein HQ,Office,Melville,True,fsq,,,,,,,,Henry Schein,332,True,585,40.768675,-73.415633
56,CA Technologies Campus,Office,Islandia,False,,,,,,,,,,,False,,,
57,Canon USA HQ,Office,Melville,False,,"Canon USA, Inc.",1.0,1754,building=commercial,,,,,,False,,,
58,Broadridge Financial Solutions HQ,Office,Lake Success,True,fsq,CMIT Solutions of North Nassau,0.33,1749,office=it,,,,Broadridge Financial Solutions,9,True,239,,
59,Pall Corporation HQ,Office,Port Washington,True,osm,Pall Corporation,1.0,0,office=company,,,,,,True,158,,
60,300 Motor Pkwy,Office,Hauppauge,False,,Olympic Motor Lodge,0.33,290,tourism=motel,,,,,,False,,,
61,Newsday Building,Office,Melville,False,,Building 18,1.0,535,building=apartments,,,,,,True,1714,,
62,1111 Marcus Ave,Office,Lake Success,True,fsq,2500 Marcus Ave,0.67,369,building=commercial,,,,1111 Marcus Avenue,92,True,330,,
63,400 Crossways Park Dr,Office,Woodbury,True,osm,400 Crossways Park Drive,1.0,0,building=commercial,,,,,,True,83,,
64,Altice USA HQ,Office,Bethpage,False,,,,,,,,,,,True,292,,
65,Northwell Health HQ,Office,New Hyde Park,False,,Northwell Health Imaging,1.0,336,amenity=clinic,,,,,,True,210,,
66,400 Post Ave,Office,Westbury,False,,Westbury Post Office,0.33,792,amenity=post_office,,,,,,True,42,,
67,445 Broadhollow Rd,Office,Melville,True,fsq,,,,,,,,445 Broadhollow Road,58,False,,,
68,Long Island State Office Building,Office,Hauppauge,False,,Duryea State Office Building,0.75,938,building=public,,,,,,False,,,
69,800 Community Dr,Office,Manhasset,False,,Community Drive Medical Center,0.5,302,building=commercial,,,,,,True,674,,
70,1000 Woodbury Rd,Office,Woodbury,True,fsq,Woodbury Substation,0.5,243,feature,,,,1000 Woodbury Road,8,False,,,
71,500 Bi-County Blvd,Office,Farmingdale,False,,10 Alen Blvd,0.5,1505,building=commercial,,,,,,True,387,,
72,200 Motor Pkwy,Office,Hauppauge,False,,Olympic Motor Lodge,0.33,755,tourism=motel,,,,,,True,491,,
73,Sheraton Long Island Hotel,Hotel,Smithtown,False,,A Long Island Bankruptcy Lawyer,0.5,596,office=lawyer,,,,,,False,,,
74,Hyatt Regency Long Island,Hotel,Hauppauge,True,osm,Hyatt Regency Long Island,1.0,22,tourism=hotel,,,,,,True,487,,
75,The Allegria Hotel,Hotel,Long Beach,True,osm,Allegria Hotel,1.0,544,tourism=hotel,,,,,,True,504,40.5843,-73.666412
76,Gurney's Montauk Resort & Seawater Spa,Hotel,Montauk,True,osm,Gurney's Inn Resort and Spa,0.6,207,tourism=hotel,Gurney's Montauk Resort & Seawater Spa,"hotel in Montauk, United States",81,,,True,141,41.015123,-71.993171
77,Hampton Inn Long Island Commack,Hotel,Commack,True,osm,Hampton Inn Long Island/Commack,1.0,8,tourism=hotel,,,,,,False,,,
78,Hilton Garden Inn Roslyn,Hotel,Roslyn,True,osm,Hilton Garden Inn - Roslyn,1.0,1135,tourism=hotel,,,,,,False,,40.808343,-73.657415
79,Marriott Residence Inn Melville,Hotel,Melville,False,,Marriott Melville Long Island,0.5,1357,tourism=hotel,,,,,,False,,,
80,Courtyard Marriott Garden City,Hotel,Garden City,False,,Courtyard,1.0,1745,tourism=hotel,,,,,,True,65,,
81,Marriott Residence Inn Plainview,Hotel,Plainview,False,,The Residence at Plainview,0.67,35,amenity=social_facility,,,,,,True,150,,
82,Hampton Inn Garden City,Hotel,Garden City,False,,Garden City,1.0,1557,building=train_station,,,,,,True,8,,
83,Hyatt House Hauppauge,Hotel,Hauppauge,False,,Hauppauge Youth Organization Baseball Fields,0.33,1675,leisure=park,,,,,,False,,,
84,Holiday Inn Express Hauppauge,Hotel,Hauppauge,False,,Holiday Inn Express,1.0,2291,tourism=hotel,,,,,,False,,,
85,Marriott Courtyard Ronkonkoma,Hotel,Ronkonkoma,False,,Ronkonkoma,1.0,903,building=train_station,,,,,,False,,,
86,Marriott Residence Inn Islandia,Hotel,Islandia,False,,Village of Islandia,0.5,2290,office=government,,,,,,True,2405,,
87,Homewood Suites Melville,Hotel,Melville,False,,Melville Deli,0.5,2496,amenity=fast_food,,,,,,False,,,
88,The Menhaden Hotel,Hotel,Greenport,True,osm,The Menhaden,1.0,291,tourism=hotel,,,,,,True,302,41.101577,-72.362572
89,Marriott Courtyard Uniondale,Hotel,Uniondale,False,,Courtyard,1.0,2396,tourism=hotel,,,,,,False,,,
90,SUNY Old Westbury — Campus Center,Education,Old Westbury,True,osm,Campus Center,1.0,46,building=university,,,,,,True,2133,,
91,Farmingdale State College — Gleeson Hall,Education,Farmingdale,True,osm,Gleeson Hall,1.0,382,building=university,,,,,,True,891,40.75301,-73.428617
92,Nassau Community College — Library,Education,Garden City,False,,Nassau Community College,1.0,761,amenity=college,,,,,,False,,,
93,LIU Post — Hillwood Commons,Education,Brookville,False,,Hillwood Commons,1.0,864,building=university,,,,,,True,1183,,
94,NYIT — de Seversky Mansion,Education,Old Westbury,False,,,,,,,,,,,False,,,
95,Touro Law Center,Education,Central Islip,True,osm,Touro Law School,0.67,41,amenity=college,Touro Law Center,"law school in Central Islip on Long Island, New York, USA",9,,,True,195,,
96,Molloy University — Public Square,Education,Rockville Centre,True,osm,Molloy University,1.0,102,amenity=university,,,,,,True,194,,
97,St. Joseph's University — Callahan Library,Education,Patchogue,True,osm,Callahan Library,1.0,75,amenity=library,,,,,,True,137,,
98,Stony Brook University — Wang Center,Education,Stony Brook,True,osm,Wang Center,1.0,547,amenity=bicycle_rental,,,,,,False,,40.91645,-73.118244
99,Stony Brook University — Administration,Education,Stony Brook,True,osm,Administration,1.0,149,building=university,,,,,,True,513,,
100,Hofstra University — Student Center,Education,Hempstead,True,osm,Hofstra University,1.0,69,amenity=university,,,,,,False,,,
101,Five Towns College,Education,Dix Hills,True,osm,Five Towns College,1.0,71,amenity=university,,,,,,False,,,
102,Nassau County Courthouse,Government,Mineola,True,osm,Nassau County Courthouse,1.0,349,amenity=courthouse,,,,,,True,150,40.7388,-73.634356
103,Nassau County Administrative Building,Government,Mineola,False,,Building F,1.0,2273,building=commercial,,,,,,True,3232,,
104,Suffolk County Courthouse,Government,Riverhead,False,,Suffolk County Supreme Court House Annex,0.67,435,amenity=courthouse,Suffolk County Courthouse,"county courthouse in Massachusetts, United States of America",208337,,,False,,,
105,US Federal Building & Courthouse,Government,Central Islip,False,,Alfonse D'Amato United States Courthouse for the Eastern District of New York,0.33,1,amenity=courthouse,,,,,,False,,,
106,Suffolk County Legislative Building,Government,Hauppauge,False,,Suffolk County Police 4th Precinct,0.5,184,amenity=police,,,,,,False,,,
107,Nassau County Police Headquarters,Government,Mineola,False,,Nassau County Courthouse,0.67,764,amenity=courthouse,,,,,,True,1058,,
108,IRS Service Center Holtsville,Government,Holtsville,False,,Holtsville MGU,0.5,1953,feature,,,,,,True,994,,
109,Nassau County District Court,Government,Hempstead,True,osm,Nassau County District Court,1.0,403,office=government,,,,,,False,,40.707379,-73.623207
110,Long Island Federal Courthouse,Government,Central Islip,False,,Long Island,1.0,2320,tourism=artwork,,,,,,True,2903,,
111,Brookhaven Town Hall,Government,Farmingville,False,,Town Hall Level 12,0.67,27,amenity=townhall,,,,,,True,207,,
112,Hempstead Town Hall,Government,Hempstead,True,osm,Town of Hempstead,1.0,150,office=government,,,,,,True,1390,,
113,Suffolk County Family Court,Government,Central Islip,True,osm,Suffolk County District Court,0.75,61,amenity=police,,,,,,True,2254,,
114,Oceanic Tower,Residential,Long Beach,False,,,,,,,,,,,True,924,,
115,Long Beach Towers North,Residential,Long Beach,False,,Sobi Long Beach,0.67,626,amenity=bicycle_rental,,,,,,True,8,,
116,Long Beach Towers South,Residential,Long Beach,False,,Mount Sinai South Nassau - Off-Campus Emergency Department at Long Beach,0.75,1672,amenity=clinic,,,,,,True,24,,
117,Bayview Tower,Residential,Great Neck,False,,Great Neck WPCD – Bayview Avenue Pump Station,0.5,1181,feature,,,,,,True,23,,
118,Great Neck Plaza Apartments,Residential,Great Neck,False,,Village of Great Neck Plaza,0.75,249,office=government,,,,,,False,,,
119,Parkwood Apartments,Residential,New Hyde Park,False,,,,,,,,,,,True,546,,
120,The Sutton at Rockville Centre,Residential,Rockville Centre,False,,Diocese of Rockville Centre,0.67,229,office=religion,,,,,,True,4,,
121,Sunrise Towers,Residential,Valley Stream,False,,Sunrise,1.0,1079,amenity=fast_food,,,,,,False,,,
122,Port Washington Towers,Residential,Port Washington,False,,Chabad of Port Washington,0.67,149,amenity=place_of_worship,,,,,,True,28,,
123,Mill Creek at Mineola,Residential,Mineola,False,,Mineola,1.0,939,building=train_station,,,,,,True,828,,
124,Huntington Public Library,Library,Huntington,True,osm,Huntington Public Library,1.0,160,amenity=library,,,,,,True,186,,
125,Port Washington Public Library,Library,Port Washington,True,osm,Port Washington Public Library,1.0,603,amenity=library,,,,,,False,,40.831941,-73.696833
126,Half Hollow Hills Community Library,Library,Dix Hills,False,,Half Hollow Hills Public Library,0.8,2326,amenity=library,Half Hollow Hills Community Library,"public library in Dix Hills, New York, USA",2303,,,False,,,
127,Middle Country Public Library,Library,Centereach,True,osm,Middle Country Public Library (Centereach),1.0,3,amenity=library,,,,,,True,57,,
128,Sachem Public Library,Library,Holbrook,True,osm,Sachem Public Library,1.0,33,amenity=library,,,,,,True,79,,
129,Long Island MacArthur Airport Terminal,Transit,Ronkonkoma,True,osm,Long Island MacArthur Airport,1.0,185,aeroway=aerodrome,,,,,,True,1482,40.795948,-73.100303
130,MacArthur Airport Parking Garage,Transit,Ronkonkoma,True,osm,Long Island MacArthur Airport,0.5,58,aeroway=aerodrome,,,,,,True,3061,,
131,Pilgrim Psychiatric Center,Medical,Brentwood,True,osm,Pilgrim Psychiatric Center,1.0,33,amenity=hospital,,,,,,True,887,,
132,NYU Langone Orthopedic Hospital Syosset,Medical,Syosset,False,,Syosset Hospital,1.0,1634,amenity=hospital,,,,,,True,350,,
133,Northwell Health Physician Partners,Medical,Great Neck,False,,Northwell Health,1.0,582,amenity=doctors,,,,,,True,51,,
134,NYU Langone Medical Arts Huntington,Medical,Huntington Station,False,,Huntington,1.0,1166,building=train_station,,,,,,True,5305,,
135,Stony Brook Medicine Commack,Medical,Commack,False,,Commack Supercharger,0.5,2028,amenity=charging_station,,,,,,False,,,
136,Catholic Health Medical Arts West Islip,Medical,West Islip,False,,West Islip Orthodontists,0.67,611,amenity=doctors,,,,,,True,7596,,
137,Northwell Health Manhasset Medical Arts,Medical,Manhasset,False,,Northwell Health,1.0,1298,building=yes,,,,,,True,280,,
138,ProHEALTH Care New Hyde Park,Medical,New Hyde Park,False,,Welcome to New Hyde Park,0.75,1497,tourism=information,,,,,,True,60,,
139,Brunswick Medical Arts Building,Medical,Amityville,False,,Triangle Building,0.5,127,building=commercial,,,,,,True,666,,
140,Long Island Heart Associates Building,Medical,Mineola,False,,Building F,1.0,2124,building=commercial,,,,,,True,41,,
141,Sagamore Children's Psychiatric Center,Medical,Dix Hills,True,osm,Sagamore Children's Psychiatric Center,1.0,5,amenity=hospital,,,,,,True,1152,,
142,Northwell Health Cancer Institute,Medical,Lake Success,False,,Northwell Health,1.0,1257,building=yes,,,,,,True,245,,
143,Northwell Health Orthopedics Garden City,Medical,Garden City,False,,Garden City Bowl,0.67,386,feature,,,,,,True,101,,
144,NYU Langone — Lake Success Medical,Medical,Lake Success,False,,Lake Success Medical Building,0.75,2051,building=retail,,,,,,True,2498,,
145,Mercy Medical Center Medical Office Bldg,Medical,Rockville Centre,False,,Maple Medical Center,0.67,417,building=yes,,,,,,True,36,,
146,Northwell Imaging East Meadow,Medical,East Meadow,False,,Sunrise of East Meadow,0.67,1889,amenity=nursing_home,,,,,,True,480,,
147,Island Neurological Associates,Medical,Plainview,False,,Island Chiropractic,0.5,2290,healthcare=physiotherapist,,,,,,True,83,,
148,Northwell Imaging at Mineola,Medical,Mineola,False,,Mineola,1.0,766,building=train_station,,,,,,True,25,,
149,1601 Old Country Rd,Office,Plainview,False,,Trail View State Park - Old Country Road,0.67,660,tourism=information,,,,,,True,8,,
150,3000 Marcus Ave,Office,Lake Success,True,fsq,2800 Marcus Ave,0.67,108,building=commercial,,,,3000 Marcus Avenue,23,False,,,
151,400 Garden City Plaza,Office,Garden City,True,osm,400 Garden City Plaza,1.0,6,building=yes,,,,,,True,283,,
152,1000 Franklin Ave,Office,Garden City,True,fsq,Benjamin Franklin,0.5,2272,tourism=artwork,,,,1000 Franklin Ave,400,True,370,40.729828,-73.63617
153,135 Pinelawn Rd,Office,Melville,False,,,,,,,,,,,True,1964,,
154,560 Broadhollow Rd,Office,Melville,False,,,,,,,,,,,False,,,
155,1401 Franklin Ave,Office,Garden City,False,,Benjamin Franklin,0.5,1924,tourism=artwork,,,,,,True,36,,
156,350 Motor Pkwy,Office,Hauppauge,False,,Olympic Motor Lodge,0.33,396,tourism=motel,,,,,,True,482,,
157,50 Charles Lindbergh Blvd,Office,Uniondale,False,,Lindbergh’s Flight,0.5,626,feature,,,,,,False,,,
158,900 Merchants Concourse,Office,Westbury,True,fsq,,,,,,,,900 Merchants Concourse,6,True,355,,
159,290 Broadhollow Rd,Office,Melville,True,fsq,,,,,,,,290 broadhollow rd melville,77,False,,,
160,1 Symbol Plaza,Office,Holtsville,False,,,,,,,,,,,True,1782,,
161,3 Corporate Center Dr,Office,Bohemia,False,,Bohemia County Equestrian Center,0.5,831,building=yes,,,,,,True,2800,,
162,100 Marcus Blvd,Office,Hauppauge,False,,,,,,,,,,,True,84,,
163,150 Broadhollow Rd,Office,Melville,False,,,,,,,,,,,True,153,,
164,100 Jericho Quadrangle,Office,Jericho,False,,Marshalls Jericho,0.5,314,shop=department_store,,,,,,True,1599,,
165,200 Corporate Center Dr,Office,Islandia,False,,Sunburst Center,0.5,2226,building=yes,,,,,,True,2420,,
166,475 Wireless Blvd,Office,Hauppauge,False,,,,,,,,,,,True,124,,
167,100 Motor Pkwy,Office,Hauppauge,True,fsq,Olympic Motor Lodge,0.33,1889,tourism=motel,,,,100 Motor Parkway,11,False,,,
168,534 Broadhollow Rd,Office,Melville,True,fsq,,,,,,,,534 Broadhollow Rd,39,True,204,,
169,999 Stewart Ave,Office,Garden City,True,osm,999 Stewart Avenue,0.67,7,shop=storage_rental,,,,,,True,77,,
170,600 Old Country Rd,Office,Garden City,False,,One Old Country Road,0.67,2538,office=yes,,,,,,False,,,
171,38 Harbor Park Dr,Office,Port Washington,False,,Hempstead Harbor Shoreline Park,1.0,607,leisure=nature_reserve,,,,,,True,64,,
172,125 Froehlich Farm Blvd,Office,Woodbury,False,,Meyer's Farm,0.5,656,shop=farm,,,,,,True,95,,
173,100 Fulton Ave,Office,Hempstead,False,,Fulton Podiatry,0.5,75,amenity=doctors,,,,,,True,5,,
174,990 Stewart Ave,Office,Garden City,True,fsq,877 Stewart Ave,0.67,475,building=commercial,,,,990 Stewart Ave,4,True,197,,
175,50 Applied DNA Dr,Office,Stony Brook,False,,College of Engineering and Applied Sciences,0.5,1349,amenity=college,,,,,,True,8,,
176,3601 Broadhollow Rd,Office,Farmingdale,False,,1290 Broadhollow Road,0.5,1099,building=commercial,,,,,,False,,,
177,300 Garden City Plaza,Office,Garden City,True,osm,300 Garden City Plaza,1.0,3,building=yes,,,,,,True,275,,
178,100 Duffy Ave,Office,Hicksville,False,,40 Jerusalem Ave,0.5,373,building=retail,,,,,,True,405,,
179,Certilman Balin Adler & Hyman LLP,Legal,East Meadow,False,,,,,,,,,,,True,1866,,
180,Meltzer Lippe Goldstein & Breitstone LLP,Legal,Mineola,True,fsq,"Dalli & Marino, LLP",0.33,394,office=lawyer,,,,"Meltzer, Lippe, Goldstein & Breitstone, LLP",207,True,215,40.745942,-73.638865
181,Abrams Fensterman LLP,Legal,Lake Success,False,,,,,,,,,,,True,122,,
182,Bond Schoeneck & King PLLC,Legal,Garden City,True,fsq,Warren King Field,0.33,1742,leisure=stadium,,,,"Bond, Schoeneck & King",391,True,335,40.730202,-73.636313
185,Campolo Middleton & McCormick LLP,Legal,Ronkonkoma,True,fsq,,,,,,,,"Campolo, Middleton & McCormick",10,True,67,,
186,Hamburger Maxson Yaffe & McNally LLP,Legal,Melville,True,fsq,"Parker Waichman LLP, Personal Injury Accident Attorneys",0.2,1128,office=lawyer,,,,"Hamburger, Maxson, Yaffe & Nally Llp",12,False,,,
187,Farrell Fritz PC,Legal,Uniondale,True,fsq,,,,,,,,"Farrell Fritz, PC",708,False,,40.720161,-73.584366
188,Rivkin Radler LLP,Legal,Uniondale,False,,,,,,,,,,,False,,,
189,Ruskin Moscou Faltischek PC,Legal,Uniondale,True,fsq,,,,,,,,Ruskin Moscou Faltischek,697,False,,40.720241,-73.583639
190,Nixon Peabody LLP Long Island,Legal,Garden City,False,,Long Island Furniture,0.67,2369,shop=furniture,,,,,,True,826,,
191,Forchelli Deegan Terrana LLP,Legal,Uniondale,False,,,,,,,,,,,True,568,,
193,Goldberg Segalla LLP,Legal,Garden City,False,,IRA Goldberg O.D. Giant Optical,0.33,2167,healthcare=optometrist,,,,,,True,2305,,
194,Gurney's Star Island Resort,Hotel,Montauk,True,fsq,Block Island Ferry,0.33,784,amenity=ferry_terminal,,,,Gurney's Star Island Resort & Marina,54,True,195,,
195,The Southampton Inn,Hotel,Southampton,False,,Southampton Inn,1.0,672,building=apartments,,,,,,True,652,,
196,Topping Rose House,Hotel,Bridgehampton,True,osm,Topping Rose House,1.0,888,tourism=hotel,,,,,,True,874,40.938232,-72.300259
197,The Maidstone Hotel,Hotel,East Hampton,True,osm,The Maidstone,1.0,18,tourism=hotel,,,,,,True,61,,
198,Hampton Inn Farmingdale,Hotel,Farmingdale,False,,Farmingdale,1.0,967,building=train_station,,,,,,True,58,,
199,La Quinta Inn Hauppauge,Hotel,Hauppauge,False,,Central Islip - Hauppauge Volunteer Ambulance Corps,0.33,2066,building=commercial,,,,,,True,4928,,
200,Hampton Inn East End Riverhead,Hotel,Riverhead,False,,Riverhead,1.0,557,building=train_station,,,,,,True,7048,,
201,Marriott Residence Inn East End,Hotel,Riverhead,False,,Residence Inn,1.0,1222,tourism=hotel,,,,,,True,260,,
202,The Ram's Head Inn,Hotel,Shelter Island,False,,The Shipwreck,0.5,1336,amenity=bar,,,,,,True,3582,,
203,Sunset Beach Hotel,Hotel,Shelter Island,True,osm,Sunset Beach,1.0,2,amenity=restaurant,,,,,,True,147,,
204,Inn at Great Neck,Hotel,Great Neck,False,,Inn At Great Neck,1.0,1362,tourism=hotel,,,,,,True,1356,,
205,Marriott Courtyard Melville,Hotel,Melville,False,,,,,,,,,,,False,,,
206,Comfort Inn & Suites Port Jefferson,Hotel,Port Jefferson Station,False,,Port Jefferson,1.0,1474,building=train_station,,,,,,True,716,,
207,American Hotel Sag Harbor,Hotel,Sag Harbor,True,osm,American Hotel,1.0,255,tourism=hotel,,,,,,True,265,41.001173,-72.295107
208,Montauk Yacht Club,Hotel,Montauk,True,osm,Montauk Yacht Club,1.0,161,tourism=hotel,,,,,,True,418,41.07044,-71.933123
209,Cold Spring Harbor Laboratory,Education,Cold Spring Harbor,True,osm,Cold Spring Harbor Laboratory,1.0,518,amenity=research_institute,,,,,,True,1002,40.86236,-73.468226
210,Stony Brook University — Engineering Bldg,Education,Stony Brook,True,osm,Engineering,1.0,102,building=university,,,,,,False,,,
211,Stony Brook University — Life Sciences Bldg,Education,Stony Brook,True,osm,Life Sciences,1.0,396,amenity=bicycle_rental,,,,,,False,,40.911374,-73.120758
212,Hofstra University — Breslin Hall,Education,Hempstead,True,osm,Hofstra University,1.0,141,amenity=university,,,,,,False,,,
213,NYIT — Education Hall,Education,Old Westbury,False,,Westbury Village Hall,0.33,1110,amenity=townhall,,,,,,False,,,
