id,name,town,status,confirmed,top_title,top_url,review_title,review_url
17,1 Jericho Plaza,Jericho,filmed,2,"Dover Impulse/Burlington? Hydraulic Elevators @ 1 Jericho Plaza, Jericho, NY",https://www.youtube.com/watch?v=EuXZlNw5RGI,"Otis Series 1 Hydraulic Elevator @ Jericho Public Library, Jericho, NY",https://www.youtube.com/watch?v=xFxBLYvgI18
20,Huntington Hospital (Northwell Health),Huntington,review,0,,,"Large Noble Hydraulic Elevator at Northwell Health Digestive Care Center in Huntington, NY",https://www.youtube.com/watch?v=4XNqHGFrwOE
21,Hilton Long Island / Huntington,Melville,filmed,2,"Ugly Dover Oildraulic Elevator at the Hilton Long Island, Huntington, NY",https://www.youtube.com/watch?v=AES7OgxNjng,"Nice Mod: Dovis Hydraulic Elevators @ Hilton Long Island, Melville, NY w. EPIC DOOR CLOSE!",https://www.youtube.com/watch?v=E2IOvnDNWMA
22,Melville Marriott Long Island,Melville,filmed,7,"OTIS Scenic Elevator at Melville Marriott Long Island in Melville, NY",https://www.youtube.com/watch?v=xVGPrQgutt4,Awesome Otis/ThyssenKrupp Hydraulic Elevators At The Marriott Melville In Melville NY,https://www.youtube.com/watch?v=vrWE9cczpPM
23,Good Samaritan University Hospital,West Islip,review,0,,,Good Samaritan Employee Gets a Lift From Bay Shore Bright Waters Rescue,https://www.youtube.com/watch?v=s7qjClGV3Jc
25,Smith Haven Mall,Lake Grove,filmed,12,"Stupid Otis Hydraulic Elevator at Sears, Smith Haven Mall, Lake Grove, NY",https://www.youtube.com/watch?v=pNPdIaStw5k,Westinghouse Hydraulic elevator at Macys Smith Haven Mall (re-take),https://www.youtube.com/watch?v=nKTt3lMhTEE
26,"Frank Melville Jr. Memorial Library, Stony Brook University",Stony Brook,unfilmed,0,,,,
28,John T. Mather Memorial Hospital,Port Jefferson,unfilmed,0,,,,
29,South Shore University Hospital,Bay Shore,review,0,,,"(Kruppy Mod) Thyssenkrupp Traction Brooks Elevator @ South Shore Hospital, Weymouth MA",https://www.youtube.com/watch?v=mlUCCyutMv0
31,Eastern Long Island Hospital,Greenport,review,0,,,Otis Elevator at the Cone Health Wesley Long Hospital Greensboro NC,https://www.youtube.com/watch?v=H1NJc8yZk1w
32,Stony Brook Southampton Hospital,Southampton,review,0,,,Millar Traction Main elevators at SUNY Stony Brook University Hospital,https://www.youtube.com/watch?v=Nx1zihQaYDA
33,Mercy Medical Center,Rockville Centre,filmed,1,"Vintage 1941 Otis (mb.) Elevator at Mercy Medical Center in Rockville Centre, NY",https://www.youtube.com/watch?v=0lgrt69kdyc,"Unknown Traction Elevators at Mercy Walworth Hospital & Medical Center in Lake Geneva, WI",https://www.youtube.com/watch?v=hvJnpmiJr-s
34,St. Francis Hospital The Heart Center,Roslyn,review,0,,,"Northwestern Traction Elevator at St. Francis Hospital in La Crosse, WI",https://www.youtube.com/watch?v=21-NAFKOWcA
35,Glen Cove Hospital,Glen Cove,filmed,1,"1969 Otis Lexan Elevator at The Glen Cove Hospital in Glen Cove, NY",https://www.youtube.com/watch?v=AzysEQyHLBg,GLEN COVE NEW YORK - ELEVATOR IN 10 MEDICAL PLAZA,https://www.youtube.com/watch?v=eTSlTNnxfuk
36,Plainview Hospital,Plainview,filmed,2,"Epic Motor: Awesome Burlington/Dover Hydraulic Elevator @ Plainview Hospital, Plainview, NY",https://www.youtube.com/watch?v=Lhs8bqUa1jA,"Dover Elevator at the Central Park Plaza Medical Arts Center in Plainview, NY",https://www.youtube.com/watch?v=HLrhjHTAexk
37,Syosset Hospital,Syosset,review,0,,,"Schindler 330A HT Hydraulic Elevator #3 @ Syosset Public Library, Syosset, NY",https://www.youtube.com/watch?v=TfjAiVtTwEI
38,Long Island Jewish Medical Center,New Hyde Park,unfilmed,0,,,,
39,Cohen Children's Medical Center,New Hyde Park,filmed,1,"Schindler elevator at the Cohen Children's Medical Center parking garage in New Hyde Park, NY",https://www.youtube.com/watch?v=uAhyt_h3iUs,,
41,Northport VA Medical Center,Northport,filmed,1,"hydraulic elevator at northport VA medical center, Northport NY.",https://www.youtube.com/watch?v=r1qlsQMhP9U,🛗 Elevator at Northport Medical Center.,https://www.youtube.com/watch?v=Ube9x22OMXQ
42,St. Charles Hospital,Port Jefferson,review,0,,,St Charles Hospital   Hydraulic Goods Lift bore hole examination,https://www.youtube.com/watch?v=IxltxRbJR6w
43,St. Joseph Hospital,Bethpage,review,0,,,"Otis Series 5 Traction Elevators at Saint Joseph Medical Office Building in Mishawaka, IN",https://www.youtube.com/watch?v=WLzpDkYsxzA
44,South Oaks Hospital,Amityville,review,0,,,Worcester: Otis Traction South Staff Elevators @ Saint Vincent Hospital,https://www.youtube.com/watch?v=EGHB91UL-qE
46,2 Jericho Plaza,Jericho,filmed,2,Dover Oildraulic elevators at 2 Jericho plaza,https://www.youtube.com/watch?v=3PiOgSzCd7I,"Dover Impulse/Burlington? Hydraulic Elevators @ 1 Jericho Plaza, Jericho, NY",https://www.youtube.com/watch?v=EuXZlNw5RGI
48,333 Earle Ovington Blvd,Uniondale,filmed,3,"elevator @ 333 earle ovington blvd. parking deck uniondale, NY",https://www.youtube.com/watch?v=ZdX-wRuYWM4,,
50,900 Stewart Ave,Garden City,review,0,,,OTIS Traction Series 1 elevators at 900 Stewart Ave,https://www.youtube.com/watch?v=Xi0OcmJPWBI
51,585 Stewart Avenue,Garden City,filmed,3,Modded Armor Traction Elevators At 585 Stewart Avenue In Garden City NY,https://www.youtube.com/watch?v=XJaYrmjR4rU,Another retake of the Armor/Filechia traction elevators at 585 Stewart Avenue,https://www.youtube.com/watch?v=5XVScO3bkyw
52,175 Broadhollow Rd,Melville,review,0,,,"MOD: ThyssenDover Hydraulic Elevators @ 445 Broadhollow Rd, Melville, NY",https://www.youtube.com/watch?v=St4CzVoQspQ
53,1010 Northern Blvd,Great Neck,review,0,,,"Nice Dover/TKE Monitor Hydraulic elevators at 1000 Northern Blvd, Great Neck, NY",https://www.youtube.com/watch?v=cjRUPT0lG80
55,Henry Schein HQ,Melville,unfilmed,0,,,,
58,Broadridge Financial Solutions HQ,Lake Success,unfilmed,0,,,,
59,Pall Corporation HQ,Port Washington,unfilmed,0,,,,
62,1111 Marcus Ave,Lake Success,review,0,,,Awesome&Loud Roma Hydraulic Scenic North Elevators At 1981 Marcus Avenue In Lake Success NY,https://www.youtube.com/watch?v=jKpnOB9y6_A
63,400 Crossways Park Drive,Woodbury,review,0,,,"Armor Hydraulic Passenger Elevator at 20 Crossways Park Drive North in Syosset, NY",https://www.youtube.com/watch?v=41YBGl8zYAE
67,445 Broadhollow Rd,Melville,filmed,2,"MOD: ThyssenDover Hydraulic Elevators @ 445 Broadhollow Rd, Melville, NY",https://www.youtube.com/watch?v=St4CzVoQspQ,"Modded Thyssenkrupp and Epic Burlington/Dover Hydraulic Elevators @ 425 Broadhollow Rd, Melville, NY",https://www.youtube.com/watch?v=wX0c4H0VmAc
70,1000 Woodbury Rd,Woodbury,filmed,3,Very nice Otis Hydraulic elevators at 1000 Woodbury Road,https://www.youtube.com/watch?v=cOOQFypusCA,,
74,Hyatt Regency Long Island,Hauppauge,filmed,3,"OTIS Elevator at the Hyatt Regency Long Island in Hauppauge, NY",https://www.youtube.com/watch?v=rgexp1PbOl8,"OTIS Traction Passenger Elevators at Hyatt Regency- Hauppauge, NY, USA",https://www.youtube.com/watch?v=RzXggUHxdT4
75,The Allegria Hotel,Long Beach,filmed,1,Beautiful Thyssenkrupp Traction Elevators At The Allegria Hotel In Long Beach NY,https://www.youtube.com/watch?v=24_Jd-fR5O8,Thyssenkrupp Traction Elevator @ Allegria Hotel,https://www.youtube.com/watch?v=w4GJ6yPDaDI
76,Gurney's Montauk Resort & Seawater Spa,Montauk,unfilmed,0,,,,
77,Hampton Inn Long Island Commack,Commack,review,0,,,"2021 Otis (former Westinghouse) Hydraulic Elevators at Hampton Inn - Commack, NY",https://www.youtube.com/watch?v=srqkX6xCmrY
78,Hilton Garden Inn Roslyn,Roslyn,filmed,2,Kone Traction Elevators At The Hilton Garden Inn Roslyn In Roslyn NY,https://www.youtube.com/watch?v=za_EjG78QUY,Elevator Hilton Garden Inn,https://www.youtube.com/watch?v=GJTk4yukUZM
88,The Menhaden Hotel,Greenport,filmed,1,Schindler 330A elevator at The Menhaden Hotel Greenport New York,https://www.youtube.com/watch?v=SZKN7nd2sSg,"Otis Hydraulic Elevator - Revel Hotel - Urbandale, IA",https://www.youtube.com/watch?v=beuSHPszalg
90,SUNY Old Westbury — Campus Center,Old Westbury,review,0,,,"Modernized and Original Schindler Elevator at SUNY College at Old Westbury Library, Old Westbury, NY",https://www.youtube.com/watch?v=PIxV71iHJ90
91,Farmingdale State College — Gleeson Hall,Farmingdale,filmed,11,Turnbull Bottom-Drive Traction Elevator at Whitman Hall Farmingdale State College,https://www.youtube.com/watch?v=rRjAVLGgDC4,"Modded and Original ThyssenKrupp Hydraulic Elevators, Gleeson Hall, SUNY Farmingdale, NY",https://www.youtube.com/watch?v=O67C2WAXdwY
95,Touro Law Center,Central Islip,unfilmed,0,,,,
96,Molloy University — Public Square,Rockville Centre,unfilmed,0,,,,
97,St. Joseph's University — Callahan Library,Patchogue,unfilmed,0,,,,
98,Stony Brook University — Wang Center,Stony Brook,filmed,2,Dover Hydraulic Elevators At The Charles B Wang Center At Stony Brook University In Stony Brook NY,https://www.youtube.com/watch?v=FXB_9Y51xvs,Traction Elevators At Stony Brook University In Stony Brook NY,https://www.youtube.com/watch?v=WgKKAbNNvjw
99,Stony Brook University — Administration,Stony Brook,filmed,2,"Unknown Hydraulic Elevator #2, Administration, Stony Brook University, NY",https://www.youtube.com/watch?v=R4eydV6oE0g,Traction Elevators At Stony Brook University In Stony Brook NY,https://www.youtube.com/watch?v=WgKKAbNNvjw
100,Hofstra University — Student Center,Hempstead,filmed,2,"Horrendous Armor Hydraulic Service Elevator @ Student Center, Hofstra University, Hempstead, NY",https://www.youtube.com/watch?v=GUs7VRwCTeE,Slow ??? Hydraulic Elevator at the Hofstra University Student Center,https://www.youtube.com/watch?v=jRxkrM6tEx8
101,Five Towns College,Dix Hills,unfilmed,0,,,,
102,Nassau County Courthouse,Mineola,review,0,,,"ThyssenKrupp Hydraulic Elevators ~ Nassau County Clerk of Courts ~ Yulee, FL",https://www.youtube.com/watch?v=8bfDvPC_PnY
109,Nassau County District Court,Hempstead,unfilmed,0,,,,
112,Hempstead Town Hall,Hempstead,review,0,,,"EPIC MOTOR: Burlington Hydraulic Elevator at Gittleson Hall at Hofstra University in Hempstead, NY",https://www.youtube.com/watch?v=iKxsJxc0BY4
113,Suffolk County Family Court,Central Islip,review,0,,,LIFT Webinar New York Family Law & Court Basics,https://www.youtube.com/watch?v=ghtzp4i2gUc
124,Huntington Public Library,Huntington,filmed,15,"OTIS Elevator and Machine Room at Huntington Public Library Main Branch in Huntington, NY",https://www.youtube.com/watch?v=5KAh9Sh9H2o,,
125,Port Washington Public Library,Port Washington,review,0,,,"Schindler Elevators @ Port Washington Parking Garage Bayshore Town Center in Glendale, Wisconsin",https://www.youtube.com/watch?v=5f6amSXRj5w
127,Middle Country Public Library (Centereach),Centereach,filmed,3,"Noble Hydraulic Elevator at Middle Country Public Library, Selden Building, in Selden, NY",https://www.youtube.com/watch?v=yRZ1OGl0Ato,,
128,Sachem Public Library,Holbrook,filmed,2,Noble Elevator @ Sachem Public Library Holbrook NY,https://www.youtube.com/watch?v=mrZdg7NMVlg,Alligator in the Elevator @ the Sachem Public Library,https://www.youtube.com/watch?v=ZEZO7yiWvNc
129,Long Island MacArthur Airport Terminal,Ronkonkoma,filmed,1,"2 1990's Dover Impulse Elevators at Courtyard Long Island MacArthur Airport in Ronkonkoma, NY",https://www.youtube.com/watch?v=VBKBctA84C0,,
130,MacArthur Airport Parking Garage,Ronkonkoma,review,0,,,"Parking Garage Elevator Update - Macarthur Center - Norfolk, VA",https://www.youtube.com/watch?v=c-MWQTOdP5o
131,Pilgrim Psychiatric Center,Brentwood,unfilmed,0,,,,
141,Sagamore Children's Psychiatric Center,Dix Hills,unfilmed,0,,,,
150,3000 Marcus Ave,Lake Success,filmed,2,"Interesting Otis Hydraulic Elevators at 3000 Marcus Avenue, Lake Success, NY",https://www.youtube.com/watch?v=Yp4nRrm7m1g,Otis elevator at 3000  marcus avenue new Hyde park,https://www.youtube.com/watch?v=icNSoeFKAic
151,400 Garden City Plaza,Garden City,filmed,5,"Dover Elevators at 400 Garden City Plaza in East Garden City, NY",https://www.youtube.com/watch?v=Vlv_y0Pybdg,"Armor Elevators at 100 Garden City Plaza in East Garden City, NY",https://www.youtube.com/watch?v=dCbcahE03tk
152,1000 Franklin Ave,Garden City,filmed,4,Seaberg bottom drive traction elevator at 1000 Franklin Ave in Garden City,https://www.youtube.com/watch?v=WqkreVmNRZs,"AWESOME BELL: Staley Hydraulic Elevator @ 1100 Franklin Ave, Garden City, NY",https://www.youtube.com/watch?v=QXfFSBzhl-c
158,900 Merchants Concourse,Westbury,filmed,6,"FRESH MOD: OTIS / Armor Elevators at 900 Merchants Concourse, Westbury, NY",https://www.youtube.com/watch?v=K-03LkvW-B0,Extremely fast Armor Traction elevators at 900 Merchants Concourse (retake),https://www.youtube.com/watch?v=qo47ZzIpH8w
159,290 Broadhollow Rd,Melville,unfilmed,0,,,,
167,100 Motor Pkwy,Hauppauge,review,0,,,"DOUBLE FEATURE: ThyssenKrupp & Schindler Elevators at 100 & 102 Motor Parkway in Hauppauge, NY",https://www.youtube.com/watch?v=Sb82nq7jQzM
168,534 Broadhollow Rd,Melville,filmed,5,"COOL LANTERNS: Unknown (Formerly Staley?) Elevators at 534 Broadhollow Road in Melville, NY",https://www.youtube.com/watch?v=LGrVubLF8NY,"MOD: Burlington/Dover (Mb: Thyssenkrupp) Hydraulic Elevators @ 425 Broadhollow Rd, Melville, NY",https://www.youtube.com/watch?v=_0HJV6ksZwI
169,999 Stewart Avenue,Garden City,review,0,,,Fast Dover traction elevators at 990 Stewart Ave Garden City,https://www.youtube.com/watch?v=lIW11MD8EBc
174,990 Stewart Ave,Garden City,filmed,2,Fast Dover traction elevators at 990 Stewart Ave Garden City,https://www.youtube.com/watch?v=lIW11MD8EBc,"Dover Elevators at 595 Stewart Avenue in Garden City, NY",https://www.youtube.com/watch?v=TuCridE7sbc
177,300 Garden City Plaza,Garden City,filmed,4,Dover Hydraulic elevators at 300 Garden City Plaza (retake all 3),https://www.youtube.com/watch?v=VQzBIG2NmKE,"Armor Elevators at 100 Garden City Plaza in East Garden City, NY",https://www.youtube.com/watch?v=IidrefU66g0
180,Meltzer Lippe Goldstein & Breitstone LLP,Mineola,unfilmed,0,,,,
182,Bond Schoeneck & King PLLC,Garden City,unfilmed,0,,,,
185,Campolo Middleton & McCormick LLP,Ronkonkoma,unfilmed,0,,,,
186,Hamburger Maxson Yaffe & McNally LLP,Melville,unfilmed,0,,,,
187,Farrell Fritz PC,Uniondale,unfilmed,0,,,,
189,Ruskin Moscou Faltischek PC,Uniondale,unfilmed,0,,,,
194,Gurney's Star Island Resort,Montauk,review,0,,,Goat Island RI: OTIS Series 1 Hydraulic Elevator @ Gurneys Resort,https://www.youtube.com/watch?v=RWc3Uz0Rv1Y
196,Topping Rose House,Bridgehampton,unfilmed,0,,,,
197,The Maidstone Hotel,East Hampton,review,0,,,Lightly Modernised Keighley Hydraulic Lift at Royal Star Arcade in Maidstone,https://www.youtube.com/watch?v=jGwszVqlj_8
203,Sunset Beach Hotel,Shelter Island,review,0,,,"Awesome 30 Floor Kone Glass Elevators during a beautiful sunset - Turquoise Place - Orange Beach, AL",https://www.youtube.com/watch?v=KwbyRMWLfiE
207,American Hotel Sag Harbor,Sag Harbor,review,0,,,"Westinghouse Adams Hydraulic Elevator @ Sag Harbor Inn - Sag Harbor, NY",https://www.youtube.com/watch?v=cVoI4cSuw7E
208,Montauk Yacht Club,Montauk,unfilmed,0,,,,
209,Cold Spring Harbor Laboratory,Cold Spring Harbor,unfilmed,0,,,,
210,Stony Brook University — Engineering Bldg,Stony Brook,filmed,10,"MUST WATCH: AMAZING Northern Elevator at Heavy Engineering, Stony Brook University, NY",https://www.youtube.com/watch?v=Osk9S56GrS0,Stony Brook University Part 1 - The Elevator Show,https://www.youtube.com/watch?v=5QJQDvAe2Ac
211,Stony Brook University — Life Sciences Bldg,Stony Brook,review,0,,,Stony Brook University Part 1 - The Elevator Show,https://www.youtube.com/watch?v=5QJQDvAe2Ac
212,Hofstra University — Breslin Hall,Hempstead,filmed,2,"Otis Series 1 Hydraulic Elevator @ Breslin Hall, Hofstra University, Hempstead, NY",https://www.youtube.com/watch?v=0Mc0ZC4fgsw,Otis Hydraulic Elevator - Breslin Hall [Hofstra University],https://www.youtube.com/watch?v=a8hGqiZw9ck
214,Adelphi University — Earle Hall,Garden City,unfilmed,0,,,,
218,Molloy University — Hagan Hall,Rockville Centre,unfilmed,0,,,,
219,Islip Town Hall,Islip,filmed,1,"1977 Warren (mb. Monitor TR) Elevator at Islip Town Hall in Islip, NY",https://www.youtube.com/watch?v=m7YksE7AAbg,,
220,North Hempstead Town Hall,Manhasset,review,0,,,"Modernized Seaberg Elevator at Weller Hall, Hofstra University, Hempstead, NY",https://www.youtube.com/watch?v=xN2krZ-9avw
224,East Hampton Town Hall,East Hampton,review,0,,,Easthampton Old Town Hall Elevator & Entryway Groundbreaking 7/15/25,https://www.youtube.com/watch?v=u8l6r5alI3I
225,Southampton Town Hall,Southampton,filmed,1,"1984 Dover Classic Elevator at Southampton Town Hall in Southampton, NY",https://www.youtube.com/watch?v=s_Kq0piS30k,RARE 2012 LULA Elevator with Dewhurst Fixtures! at Southampton Village Hall,https://www.youtube.com/watch?v=1m63VyasMjM
228,Theodore Roosevelt Exec & Legislative Bldg,Mineola,unfilmed,0,,,,
234,Lynbrook Gardens,Lynbrook,review,0,,,"Modernized Hydraulic Elevators @ Lynbrook Long Island Railroad Station - Lynbrook, New York",https://www.youtube.com/watch?v=T_MnajCC8R0
244,The Smithtown Library — Main Branch,Smithtown,filmed,2,"Mediocre Schindler Elevator at The Smithtown Library Main Branch in Smithtown, NY",https://www.youtube.com/watch?v=3bZE2WwBXzo,New Quiet Schindler Hydraulic Elevator at the Smithtown Library,https://www.youtube.com/watch?v=O5xflGU3gqA
247,Great Neck Public Library — Main Branch,Great Neck,review,0,,,"Great Neck, NY: All Ways Hydraulic Elevator • Great Neck Library (Public Library) • Bayview Avenue.",https://www.youtube.com/watch?v=UnSCQZoF2tY
248,Babylon Public Library,Babylon,review,0,,,Testy Westinghouse Hydraulic elevator at the Lynbrook Public Library,https://www.youtube.com/watch?v=BOM6vmSQawM
251,Broadway Mall,Hicksville,filmed,8,"Schindler Scenic Hydraulic Elevator at Broadway Mall, Hicksville, NY",https://www.youtube.com/watch?v=R0ha2rlo4-A,An update to the Schindler elevator at the Broadway mall,https://www.youtube.com/watch?v=vsHD4U4q8Uk
253,The Paramount Huntington,Huntington,filmed,4,"Noble Elevator at The Paramount in Huntington, NY",https://www.youtube.com/watch?v=mPpH9SKNXng,"AMAZING High-Rise Mitsubishi Traction Elevators-The Paramount Residences-San Francisco, CA",https://www.youtube.com/watch?v=sq8oVwqlK6Q
254,Tilles Center for the Performing Arts,Brookville,filmed,2,"Noble Elevator at the Tilles Center for the Performing Arts in Brookville, NY",https://www.youtube.com/watch?v=5KzVEBvIEnw,"Elevator at the Tilles center, Liu post, 720 Northern Blvd, Brookville, NY",https://www.youtube.com/watch?v=gXyIkUAuRnA
255,Long Island Aquarium and Exhibition Center,Riverhead,filmed,2,"Noble Elevator at Atlantis Long Island Aquarium and Exhibition Center in Riverhead, NY: Video 1",https://www.youtube.com/watch?v=X0Ru9yFYpBU,"GAL Elevator at Long Island Aquarium, Riverhead, NY",https://www.youtube.com/watch?v=uqYFzjX_xzg
256,Nassau Veterans Memorial Coliseum,Uniondale,filmed,2,"OTIS Elevator to Suites A-Z at Nassau Veterans Memorial Coliseum in Uniondale, NY",https://www.youtube.com/watch?v=7SeWFcNGakw,Aerosmith live in concert Nassau Coliseum 2012 - Love in an Elevator clip,https://www.youtube.com/watch?v=USjE30on5ws
257,Long Island Children's Museum,Garden City,filmed,2,elevator at the Long Island Children museum in the museum row,https://www.youtube.com/watch?v=6wAf00RtlfQ,Long Island Elevators and I experience an Otis Series 1 at the Submarine Force Museum,https://www.youtube.com/watch?v=qlywiB-KAfE
259,Stony Brook University Sports Complex,Stony Brook,review,0,,,"KONE MRL Traction Elevator at the Simons Center for Geometry and Physics, Stony Brook University, NY",https://www.youtube.com/watch?v=YJ6ETCwPmow
262,Gurwin Jewish Nursing & Rehabilitation Center,Commack,filmed,1,drunk chime and epic motor on the elevator at Gurwin Jewish nursing and rehabilitation center in NY!,https://www.youtube.com/watch?v=0_SYBG_7hI8,pt 1 elevators at Gurwin Jewish nursing and rehabilitation center,https://www.youtube.com/watch?v=a64o5ImI7D8
263,Peconic Landing at Southold,Greenport,unfilmed,0,,,,
264,The Bristal Assisted Living at Westbury,Westbury,unfilmed,0,,,,
269,Glengariff Healthcare Center,Glen Cove,unfilmed,0,,,,
295,Baron's Cove Hotel,Sag Harbor,unfilmed,0,,,,
302,Holiday Inn Westbury,Carle Place,filmed,5,"Tacky Thyssenkrupp Hydraulic Elevator #1 @ Holiday INN, Westbury, NY",https://www.youtube.com/watch?v=mWHn86rk0Zc,Otis Traction Elevator @ Holiday Inn-Westbury,https://www.youtube.com/watch?v=AyEKFbCfu-Q
305,North Fork Table & Inn,Southold,unfilmed,0,,,,
331,700 Old Country Rd,Plainview,filmed,1,"Nouveau Traction Elevator at 700 Old Country Road, Mineola, NY",https://www.youtube.com/watch?v=QyNlT-NoPjM,Nice elevators at 600 Old Country Road (Re-Take),https://www.youtube.com/watch?v=5-LCBnA3sZs
360,Northwell Health Ophthalmology Great Neck,Great Neck,unfilmed,0,,,,
362,Riverhead Town Hall,Riverhead,unfilmed,0,,,,
372,Stony Brook University — Harriman Hall,Stony Brook,filmed,4,"Awesome 1960s Burlington Traction Elevator - Harriman Hall, Stony Brook University, NY",https://www.youtube.com/watch?v=GrfbJJweCZk,Elevator Extravaganza: Stony Brook University,https://www.youtube.com/watch?v=y7W0OifsVyo
375,Adelphi University — Nexus Building,Garden City,unfilmed,0,,,,
377,Nassau BOCES Administrative Center,Garden City,unfilmed,0,,,,
383,Cradle of Aviation Museum,Garden City,filmed,2,"IS: Dover Elevator at the Cradle of Aviation Museum in Garden City, NY",https://www.youtube.com/watch?v=3CBxCOupvo8,the elevator at the cradle of aviation museum in the museum row,https://www.youtube.com/watch?v=S6P2VXkLaP4
384,Parrish Art Museum,Water Mill,unfilmed,0,,,,
385,Suffolk County Vanderbilt Museum,Centerport,unfilmed,0,,,,
389,Patchogue Theatre for the Performing Arts,Patchogue,review,0,,,Lift Them Up Cover — Marymount Manhattan College Theatre Arts Students,https://www.youtube.com/watch?v=miTeELzxsEU
392,Huntington YMCA,Huntington,filmed,1,Elevator at YMCA Huntington Ave Entrance; Boston MA,https://www.youtube.com/watch?v=FILKH_GAY4o,"Tell Elevator and Machine Room at Whitman Plaza in Huntington Station, NY",https://www.youtube.com/watch?v=b5r8wqdQTQM
404,Mid-Island Y JCC,Plainview,filmed,1,"Dover traditional elevator at the Mid-Island Y JCC, 45 Manetto Hill Rd, Plainview, NY",https://www.youtube.com/watch?v=eOCbusfI_Fk,,
409,Nassau County Museum of Art,Roslyn Harbor,review,0,,,Huge Thyssenkrupp? Hydraulic Elevator @ Metropolitan Museum of Art - New York City,https://www.youtube.com/watch?v=NtFJ4AzVwIE
432,Levittown Public Library,Levittown,filmed,1,Nice Noble Hydraulic elevator at Levittown Public Library,https://www.youtube.com/watch?v=qOoj0EIEGX8,"Vintage Dover Hydraulic Elevator at Bethpage Public Library in Bethpage, NY",https://www.youtube.com/watch?v=mE9bsTNBME0
436,Syosset Public Library,Syosset,filmed,5,"EPIC MOTOR: Schindler 330A Hydraulic Auxiliary Elevator (3) at Syosset Public Library in Syosset, NY",https://www.youtube.com/watch?v=FSF3zW_uUnY,"3 Schindler HT elevator at The Syosset library, 225 S Oyster Bay Rd, Syosset, NY",https://www.youtube.com/watch?v=0Tk3oyg676Q
437,Lindenhurst Memorial Library,Lindenhurst,filmed,2,"Unknown (Former Warren) Hydraulic Elevator at Lindenhurst Memorial Library in Lindenhurst, NY",https://www.youtube.com/watch?v=z8kdR5grqoM,"Concord LULA Hydraulic Elevator at East Rutherford Memorial Library In East Rutherford, NJ",https://www.youtube.com/watch?v=9Tx7G2ZsZAM
438,Bay Shore–Brightwaters Public Library,Bay Shore,unfilmed,0,,,,
439,Patchogue–Medford Library,Patchogue,filmed,1,"2010 ThyssenKrupp Elevator at Patchogue-Medford Library in Patchogue, NY",https://www.youtube.com/watch?v=VJMbAhnalzQ,,
442,Commack Public Library,Commack,review,0,,,Schindler Elevator at The Smithtown Library: Commack Branch,https://www.youtube.com/watch?v=PzZR3absc0Y
443,North Babylon Public Library,North Babylon,review,0,,,Schindler RT Elevator at a Public Library in North York Toronto 4/8/2026,https://www.youtube.com/watch?v=gm3zSjGPQFc
